%Latitude (°)	Longitude (°)	Elevation	Published distance from coast (km)	Calculated distance from coast (km)	Temperature (°C)	Accumulation (cm/year)	Deuterium (per mill) : mean	Oxygen 18 (per mill) : mean	Deuterium excess (per mill) : mean
-74.29	154.48	2126	260	278	-42.16	NaN	-314.51	-39.7	3.06
-74.36	154.04	2145	269	284	-42.35	NaN	-321.39	-40.67	4
-74.39	153.9	2164	271	286	-42.54	NaN	-339.16	-42.83	3.51
-74.44	153.61	2171	277	291	-42.61	NaN	-337.66	-42.64	3.44
-74.46	153.47	2177	281	294	-42.67	NaN	-351.21	-44.29	3.1
-74.48	153.33	2178	283	296	-42.68	NaN	-337.63	-42.29	0.73
-74.51	153.19	2195	286	298	-42.85	NaN	-303.11	-38.42	4.22
-74.53	153.03	2195	290	301	-42.85	NaN	-342.94	-43.23	2.91
-74.55	152.89	2203	293	304	-42.93	NaN	-339.68	-42.74	2.23
-74.58	152.74	2216	296	306	-43.06	NaN	-350.28	-44.02	1.86
-74.6	152.59	2227	299	309	-43.17	NaN	-341.81	-43.56	6.71
-74.62	152.45	2236	302	312	-43.26	NaN	-314.46	-38.85	-3.67
-74.65	152.31	2238	306	314	-43.28	NaN	-337.57	-43.07	7
-74.7	152.02	2250	312	320	-43.4	NaN	-316.16	-39.92	3.17
-74.72	151.87	2272	316	323	-43.62	NaN	-304.93	-38.32	1.59
-74.74	151.72	2273	322	326	-43.63	NaN	-342.02	-43.24	3.92
-74.76	151.57	2271	322	329	-43.61	NaN	-357.49	-45.1	3.28
-74.78	151.42	2296	324	333	-43.86	NaN	-332.33	-41.84	2.4
-74.8	151.27	2308	327	336	-43.98	NaN	-300.86	-38.14	4.29
-74.82	151.14	2302	330	339	-43.92	NaN	-356.31	-45.69	9.21
-74.85	151	2297	333	342	-43.87	NaN	-342.56	-43.16	2.73
-74.87	150.85	2318	339	345	-44.08	NaN	-315.7	-39.4	-0.47
-74.92	150.55	2326	342	352	-44.16	NaN	-351.26	-44.35	3.55
-74.94	150.4	2333	346	355	-44.23	NaN	-349.66	-44.09	3.05
-74.96	150.25	2337	352	358	-44.27	NaN	-354.99	-44.77	3.2
-74.98	150.11	2344	355	362	-44.34	NaN	-342.06	-42.9	1.14
-75	149.96	2345	358	365	-44.35	NaN	-357.86	-45.34	4.84
-75.03	149.81	2365	360	368	-44.55	NaN	-357.28	-45.33	5.34
-75.07	149.5	2381	370	376	-44.71	NaN	-359.65	-45.89	7.48
-75.09	149.35	2374	373	379	-44.64	NaN	-357.96	-45.71	7.73
-75.11	149.19	2375	378	383	-44.65	NaN	-334.5	-42.22	3.3
-75.18	148.74	2394	389	394	-44.84	NaN	-368.73	-46.91	6.55
-75.22	148.4	2413	398	402	-45.03	NaN	-367.21	-46.73	6.62
-75.3	147.79	2422	413	417	-45.12	NaN	-358.6	-45.86	8.3
-75.32	147.64	2423	415	421	-45.13	NaN	-355.16	-45.54	9.15
-75.36	147.31	2427	424	429	-45.17	NaN	-367.9	-46.98	7.94
-75.37	147.15	2434	430	433	-45.24	NaN	-341.58	-42.61	-0.72
-75.48	146.31	2449	450	454	-45.39	NaN	-365.21	-46.48	6.6
-75.5	146.15	2451	454	458	-45.41	NaN	-367.64	-46.79	6.66
-75.56	145.02	2480	473	484	-45.7	NaN	-363.64	-46.47	8.09
-75.57	144.83	2492	478	489	-45.82	NaN	-373.27	-47.37	5.72
-75.57	144.66	2499	486	493	-45.89	NaN	-358.37	-45.86	8.52
-75.57	144.48	2499	491	498	-45.89	NaN	-362.55	-46.19	7
-75.58	144.12	2506	499	506	-45.96	NaN	-369.39	-47.03	6.85
-75.58	143.94	2509	504	511	-45.99	NaN	-371.59	-47.03	4.65
-75.6	143.22	2532	521	529	-46.22	NaN	-367.08	-46.59	5.61
-75.61	142.68	2553	534	542	-46.43	NaN	-398.33	-50.75	7.65
-75.61	142.31	2570	543	551	-46.6	NaN	-373.29	-47.41	6.01
-75.62	141.78	2582	558	565	-46.72	NaN	-370.52	-47.08	6.1
-75.62	141.42	2594	566	574	-46.84	NaN	-375.68	-47.85	7.09
-75.62	141.24	2602	570	578	-46.92	NaN	-367.08	-46.61	5.83
-75.62	139.44	2665	612	624	-47.55	NaN	-358.49	-45.73	7.32
-75.63	138.72	2711	623	642	-48.01	NaN	-383.77	-48.91	7.47
-75.62	138.54	2712	629	647	-48.02	NaN	-372.97	-47.49	6.97
-75.62	138.36	2709	634	652	-47.99	NaN	-392.05	-50.3	10.34
-75.62	137.64	2734	653	670	-48.24	NaN	-373.7	-47.48	6.16
