%Latitude (°)	Longitude (°)	Elevation	Published distance from coast (km)	Calculated distance from coast (km)	Temperature (°C)	Accumulation (cm/year)	Deuterium (per mill) : mean	Oxygen 18 (per mill) : mean	Deuterium excess (per mill) : mean
-69.79	61.12	2500	NaN	233	-35.2	18.56	-279.9	-35.8	6.47
-70.07	61.13	2628	NaN	263	-38.7	98.99	-282.56	-36.02	5.63
-70.35	61.12	2612	NaN	293	-40	106.73	-310.85	-39.68	6.58
-70.61	60.78	2580	NaN	324	-40.1	112.26	-318.81	-40.46	4.87
-70.85	60.31	2575	NaN	354	-40	153.69	-313.28	-39.94	6.26
-71.04	59.66	2610	NaN	378	-40.3	108.47	-320.37	-40.84	6.31
-71.29	59.21	2616	NaN	409	-40.8	131.7	-321.98	-41.02	6.19
-71.57	59.16	2582	NaN	440	-40.9	75	-321.75	-40.98	6.05
-71.85	59.31	2504	NaN	469	-39.8	165.02	-322.44	-41.2	7.12
-72.09	58.83	2557	NaN	498	-40.9	82.71	-341.09	-43.33	5.54
-72.33	58.33	2612	NaN	528	-40.9	197.68	-333.08	-42.25	4.92
-72.57	57.85	2696	NaN	558	-42.4	54.98	-328.26	-41.84	6.44
-72.81	57.33	2691	NaN	589	-42.3	97.16	-340.87	-43.4	6.31
-73.05	56.84	2734	NaN	619	-43.2	73.77	-321.55	-41.01	6.51
-73.31	56.47	2728	NaN	650	-43.4	78.47	-336.9	-43.11	8.01
-73.57	56.07	2746	NaN	681	-43.9	148.83	-343.66	-43.87	7.29
-73.83	55.67	2740	NaN	713	-43	83.05	-346.62	-44.44	8.92
-74.1	55.75	2704	NaN	740	-42.7	98.39	-326.8	-41.77	7.38
-74.36	55.91	2662	NaN	765	-42.7	114.85	-361.1	-46.11	7.8
-74.63	56.04	2682	NaN	784	-42.2	135.81	-340.98	-43.48	6.88
-74.9	56.17	2704	NaN	804	-42.4	185.64	-354.01	-45.06	6.47
-75.16	56.31	2772	NaN	823	-43	-4.26	-343.99	-43.91	7.29
-75.43	56.45	2862	NaN	844	-44.5	97.83	-356.81	-45.61	8.08
-75.7	56.6	2925	NaN	866	-45.5	23.38	-342.99	-43.64	6.12
-75.84	57.53	2888	NaN	881	-37.7	30.3	-333.01	-42.43	6.42
-75.98	58.48	2834	NaN	873	-43.8	61.35	-378.52	-48.26	7.56
-76.11	59.44	2842	NaN	867	-44	4.96	-329.6	-42.02	6.57
-76.11	60.56	2746	NaN	848	-42.3	41.15	-340.38	-43.41	6.89
-76.1	61.68	2586	NaN	829	-40.9	48.91	-321.49	-40.84	5.19
-76.09	62.79	2511	NaN	811	-40.7	47.43	-324.04	-41.02	4.13
-76.07	63.91	2430	NaN	793	-39.6	67.97	-333.28	-42.21	4.36
-76.04	65.02	2345	NaN	776	-38.5	30.9	-300.32	-37.91	2.99
-75.87	65.43	2250	NaN	754	-36.4	-4.47	-310.3	-39.19	3.22
-76.08	66.15	2344	NaN	767	-37.8	111.64	-334.12	-42.45	5.48
-76.14	66.85	2344	NaN	766	-38.8	55.02	-338.91	-43.05	5.49
-76.02	67.41	2267	NaN	748	NaN	20.98	-312.1	-39.64	5
-75.86	68.2	2163	NaN	724	-38.7	79.5	-307.48	-39.01	4.61
-75.86	69.3	2222	NaN	715	-38.6	NaN	-315.44	-40.01	4.67
-75.86	70.4	2283	NaN	708	-38.9	NaN	-299.62	-37.9	3.6
-75.85	71.5	2346	NaN	702	-39.8	63.07	-325.8	-41.21	3.86
-75.66	72.27	2342	NaN	678	-38.9	3.8	-315.86	-40.03	4.36
-75.47	73.03	2349	NaN	655	-37.3	19.88	-310.28	-39.4	4.92
-75.28	73.78	2296	NaN	633	-35.7	-7.15	-319.2	-40.35	3.61
-75.09	74.52	2327	NaN	612	-35.4	8.32	-329.97	-41.59	2.71
-74.9	75.25	2451	NaN	591	-35.8	130.2	-329.64	-41.44	1.91
-74.73	75.53	2479	NaN	572	-35.3	101.4	-331.66	-41.92	3.7
-74.48	75.88	2460	NaN	544	-35.5	98.78	-329.26	-41.67	4.13
-74.26	76.17	2472	NaN	520	-35.6	21.5	-303.86	-38.4	3.37
-73.97	76.55	2550	NaN	488	-33.7	NaN	-322.41	-40.86	4.45
-73.72	76.87	2585	NaN	461	-34.2	NaN	-298.11	-37.66	3.15
-73.45	76.79	2529	NaN	431	-36.2	115.5	-326.39	-41.37	4.6
-73.19	77.03	2582	NaN	403	-36.1	62.13	-306.04	-38.84	4.64
-72.93	77.26	2514	NaN	375	-36.2	179.53	-326.22	-41.27	3.92
-72.67	77.49	2547	NaN	348	-34.5	21	-312.89	-39.52	3.24
-72.41	77.72	2420	NaN	321	-34.7	NaN	-303.41	-38.51	4.64
-72.15	77.95	2349	NaN	295	-33.3	84	-304.38	-38.63	4.67
-71.88	77.95	2325	NaN	266	-33.1	136.8	-306.51	-38.62	2.49
-71.62	77.73	2209	NaN	236	-31.7	-18	-289.52	-36.61	3.33
-71.36	77.51	2133	NaN	207	-30.7	NaN	-288.11	-36.3	2.32
-71.1	77.29	1988	NaN	177	-28.5	100.8	-274.93	-34.81	3.54
-70.84	77.08	1851	NaN	147	-28.2	202.83	-255.16	-32.31	3.33
-70.58	76.87	1650	NaN	117	NaN	223.5	-249.23	-31.63	3.81
-70.26	76.69	1386	NaN	81	NaN	195.6	-235.86	-30.11	4.98
-69.93	76.49	1040	NaN	45	NaN	285.4	-219.38	-28.04	4.94
-72.65	55.93	2862	NaN	587	NaN	NaN	-351.81	-44.86	7.05
-72.28	56.73	2876.1	NaN	539	NaN	NaN	-345.68	-44.18	7.75
-71.9	57.49	2808	NaN	491	NaN	NaN	-312.29	-39.83	6.36
-71.47	57.81	2817.8	NaN	442	NaN	NaN	-312	-39.9	7.21
-71.07	58.31	2817.3	NaN	394	NaN	NaN	-307.86	-39.39	7.22
-70.69	59.07	2753.3	NaN	345	NaN	NaN	-321.33	-41.05	7.07
-70.31	59.77	2739.5	NaN	298	NaN	NaN	-324.75	-41.4	6.44
-69.86	59.8	2620.4	NaN	249	NaN	NaN	-278.93	-35.55	5.5
-69.41	60.03	2380.7	NaN	198	NaN	NaN	-278.66	-35.39	4.49
-68.97	60.03	2132.2	NaN	152	NaN	NaN	-246.63	-31.47	5.16
-76.52	63.91	2580	NaN	837	NaN	NaN	-350.3	-44.48	5.52
-76.54	62.18	2650	NaN	862	NaN	NaN	-371.02	-47.19	6.51
-76.56	60.84	2790	NaN	883	NaN	NaN	-368.51	-46.79	5.79
-76.56	59.87	2920	NaN	898	NaN	NaN	-367.22	-46.85	7.59
-76.55	58.89	2980	NaN	913	NaN	NaN	-373.75	-47.49	6.17
-76.36	57.51	3020	NaN	922	NaN	NaN	-358.96	-45.54	5.37
-76.17	56.15	3050	NaN	890	NaN	NaN	-375.99	-47.82	6.56
-75.85	55.53	3010	NaN	854	NaN	NaN	-351.81	-44.84	6.9
-75.52	54.92	2990	NaN	818	NaN	NaN	-383.44	-48.76	6.62
-75.21	54.57	3020	NaN	788	NaN	NaN	-351.95	-44.69	5.54
-74.86	54.4	2930	NaN	760	NaN	NaN	-338.57	-43.24	7.31
-74.5	54.24	2880	NaN	732	NaN	NaN	-372.22	-47.47	7.5
-74.15	54.08	2920	NaN	706	NaN	NaN	-328.24	-41.88	6.78
-73.76	54.03	2950	NaN	681	NaN	NaN	-360.68	-46.02	7.45
-73.62	54.29	2910	NaN	680	NaN	NaN	-341.7	-43.48	6.12
-73.29	54.85	2880	NaN	664	NaN	NaN	-361.75	-46.24	8.2
-72.97	55.39	2860	NaN	627	NaN	NaN	-357.99	-45.65	7.17
-67.43	93.38	NaN	NaN	85	NaN	NaN	-215.7	-27.4	3.5
-67.86	93.75	NaN	NaN	135	NaN	NaN	-239.5	-30.13	1.5
-68.78	94.3	NaN	NaN	239	NaN	NaN	-272	-34.38	3.07
-69.35	95	NaN	NaN	303	NaN	NaN	-289.25	-36.93	6.15
-69.75	95.53	NaN	NaN	350	NaN	NaN	-304	-38.63	5
-70.18	97.03	NaN	NaN	410	NaN	NaN	-313.5	-39.85	5.3
-70.45	97.85	NaN	NaN	448	NaN	NaN	-302.4	-38.7	7.2
-70.9	99.16	NaN	NaN	513	NaN	NaN	-321	-41.5	11
-71.64	101.83	NaN	NaN	604	NaN	NaN	-333.03	-42.55	7.37
-71.9	103.31	NaN	NaN	605	NaN	NaN	-337.9	-42.8	4.5
-72.19	105.39	NaN	NaN	611	NaN	NaN	-340.5	-42.53	-0.3
-72.54	107.06	NaN	NaN	637	NaN	NaN	-343.7	-43.8	6.7
-72.89	108.79	NaN	NaN	671	NaN	NaN	-353.8	-44.3	0.6
-73.72	113.78	NaN	NaN	763	NaN	NaN	-350	-43.75	0
-73.93	115.61	NaN	NaN	777	NaN	NaN	-358.2	-45.25	3.8
-74.25	118.03	NaN	NaN	808	NaN	NaN	-359.3	-45.75	6.7
-74.18	117.72	NaN	NaN	800	NaN	NaN	-368.45	-46.45	3.15
-74.49	120.96	NaN	NaN	843	NaN	NaN	-384.5	-48.75	5.5
-74.73	124.37	NaN	NaN	873	NaN	NaN	-370.1	-47.4	9.1
-73.44	111	NaN	NaN	735	NaN	NaN	-357.3	-44.9	1.9
-71.9	103.31	NaN	NaN	605	NaN	NaN	-328.4	-42.1	8.4
-65.08	-59.58	0	NaN	25	-12.1	NaN	-188.7	-24.3	5.5
-65.17	-59.98	20	NaN	42	-12.3	NaN	-154.6	-19.5	1.6
-65.28	-60.32	20	NaN	59	-12.3	NaN	-157.9	-20.3	4.5
-65.45	-60.75	20	NaN	70	-12.4	NaN	-148.8	-19	3.4
-65.58	-61.17	50	NaN	74	-12.6	NaN	-156.5	-19.8	2.2
-65.7	-61.53	70	NaN	82	-12.7	NaN	-172	-22.1	5
-65.83	-61.95	90	NaN	87	-12.9	NaN	-171.5	-22.1	5.5
-66.33	-62.6	70	NaN	95	-12.9	NaN	-177.9	-22.5	2.1
-66.9	-63.53	50	NaN	109	-13	NaN	-174.3	-22.5	6
-67.33	-64.12	50	NaN	97	-13.1	NaN	-175.2	-22.8	6.9
-67.78	-64.7	80	NaN	86	-13.4	60	-174.4	-22.2	3.4
-68.42	-65.25	200	NaN	71	-14.3	NaN	-182.7	-23.7	7.1
-68.72	-65.43	1200	NaN	68	-15.8	NaN	-179.9	-23.3	6.9
-68.8	-65.37	1250	NaN	69	-16	NaN	-183	-23.6	5.7
-68.95	-65.43	1350	NaN	68	-16.5	50	-189.7	-24.5	7.8
-69.07	-65.33	1400	NaN	75	-17	NaN	-180.4	-23.5	7.3
-69.17	-65.3	1700	NaN	80	-17.3	NaN	-187.3	-24.2	6.4
-69.68	-65.22	1600	NaN	119	-19.6	16.4	-188.3	-24.1	4.2
-70.42	-64.73	1950	NaN	151	-19.8	16.4	-211.8	-27.3	7
-70.97	-64.68	2000	NaN	153	-21.3	NaN	-220.6	-28.3	5.5
-71.28	-65.72	1650	NaN	191	-20.7	NaN	-195.2	-25	4.3
-71.98	-65.3	1250	NaN	165	-18.1	NaN	-185.1	-23.3	1.5
-72.23	-65.48	1250	NaN	171	-18.1	NaN	-199.7	-25.3	2.4
-72.55	-65.92	1000	NaN	192	-16.4	NaN	-203.8	-26.6	8.9
-73.23	-66.8	1200	NaN	177	-18.3	NaN	-188.6	-24.3	5.9
-73.93	-67.5	1300	NaN	164	-20	50	-140.1	-18.2	5.3
-74.05	-69.95	1450	NaN	108	-20	33.8	-193.8	-25	6.2
-74.77	-72.77	1520	NaN	160	-22.1	25.1	-210	-27	6.3
-74.85	-75.75	700	NaN	181	-23	26.5	-211.9	-27.7	8.1
-75.43	-78.48	450	NaN	233	-24.8	22.8	-239.6	-30.7	5.6
-75.78	-81.67	750	NaN	292	-25.8	NaN	-246.4	-31.7	7.4
-76.42	-85.17	1050	NaN	391	-27.7	34.4	-258.2	-32.9	5.3
-76.93	-86.25	1100	NaN	450	-27.9	NaN	-255.8	-32.6	5.2
-77.6	-87.12	1500	NaN	499	-29.9	NaN	-248.4	-31.8	6.3
-78.2	-87.65	1650	NaN	525	-30.6	40	-251.9	-32	3.8
-78.82	-87.23	2050	NaN	574	-32.1	30	-295.4	-37.5	4.2
-79.17	-86.85	1800	NaN	605	-31.2	NaN	-263.3	-33.2	2.6
-79.75	-85.3	1680	NaN	672	-30.7	20	-296.2	-37.5	3.6
-80.3	-81.35	700	NaN	719	-27.3	NaN	-263.6	-33.4	3.7
-80.75	-81.25	900	NaN	736	-27.3	NaN	-271	-34.9	8.3
-81.2	-82	900	NaN	763	-28.2	NaN	-289.3	-36.9	6.2
-81.8	-82.83	1050	NaN	798	-29.1	NaN	-280.1	-35.7	5.6
-81.92	-83.33	1150	NaN	810	-29.7	NaN	-303.9	-37.8	-1.2
-82.68	-84	1250	NaN	852	-30.9	NaN	-300	-38.1	4.7
-83.08	-84.75	1320	NaN	877	-31.5	NaN	-300.6	-38.4	6.9
-83.78	-87.42	1480	NaN	933	-33.1	15	-317.7	-40	2.1
-84.2	-88.08	1550	NaN	956	-33.9	NaN	-311.3	-39.2	2.6
-84.58	-88.92	1650	NaN	979	-34.8	NaN	-321.3	-40.8	5.4
-85.18	-88.97	1730	NaN	1005	-36.8	NaN	-339.1	-42.8	3.4
-85.88	-88.17	1850	NaN	1034	-39.2	NaN	-314.8	-40.6	10.2
-86.2	-88.42	2000	NaN	1054	-40.3	10	-344.2	-43.6	4.8
-86.57	-88.95	2050	NaN	1078	-41.6	NaN	-353.5	-45	6.3
-86.9	-90.32	2200	NaN	1105	-42.7	NaN	-335.7	-42.3	2.9
-87.6	-91.1	2380	NaN	1151	-45.1	NaN	-371.3	-47.6	9.1
-87.95	-91.92	2550	NaN	1176	-46.3	8.2	-378.5	-48.4	9
-88.63	-92.43	2650	NaN	1222	-49.1	8	-386.7	-49.3	8
-89	-92.97	2750	NaN	1248	-50.7	7.6	-394.5	-50.8	11.8
-89.37	-91.65	2850	NaN	1257	-51.1	8.1	-395.4	-50.9	11.6
-90	0	2880	NaN	1271	-49.3	8.5	-398.3	-51.2	11
-89.88	114.37	2880	NaN	1268	-49.6	NaN	-404.7	-51.7	9
-89.53	108.3	2900	NaN	1266	-50.3	NaN	-403.2	-51.6	9.6
-89.18	105.58	2950	NaN	1265	-51.5	NaN	-398.7	-51.6	14.3
-88.43	104.45	3050	NaN	1257	-51.4	NaN	-413.8	-53.4	13
-88.05	104.58	3070	NaN	1253	-52.5	NaN	-415	-53.3	11.6
-87.7	104.65	3130	NaN	1248	-53.5	NaN	-416.6	-53.4	10.2
-87.33	104.42	3150	NaN	1236	-52.7	NaN	-415.2	-53.2	10.1
-86.6	104.95	3150	NaN	1213	-51.5	NaN	-418.7	-53.7	10.9
-85.55	105.67	3160	NaN	1181	-51.6	NaN	-422.5	-54.2	10.7
-85.22	105.82	3180	NaN	1174	-51.7	NaN	-427.8	-54.5	8.3
-84.47	106.28	3210	NaN	1158	-51.8	NaN	-432.2	-55.3	10
-84.12	106.28	3230	NaN	1154	-51.9	NaN	-426.1	-54.7	11.3
-83.73	106.4	3230	NaN	1150	-52.1	NaN	-430	-55.3	12.3
-83	106.2	3260	NaN	1153	-52.9	NaN	-436.5	-56.2	12.7
-82.67	106.32	3280	NaN	1153	-53.6	NaN	-422.5	-54.3	12.1
-81.83	106.47	3310	NaN	1160	-53.9	NaN	-436.6	-55.8	9.8
-81.08	106.43	3410	NaN	1176	-54.3	NaN	-435.1	-56	12.6
-80.7	106.2	3400	NaN	1189	-54.4	NaN	-446.9	-57.7	14.8
-80.28	106.23	3420	NaN	1201	-54.7	NaN	-440.7	-56.7	13.2
-79.7	106.07	3430	NaN	1224	-54.9	NaN	-414.5	-53.1	10.6
-79.13	106.13	3430	NaN	1245	-55.2	NaN	-453.7	-58.4	13.6
-78.77	106.68	3480	NaN	1250	-55.5	2.3	-441.1	-57.2	16.3
-78.12	105.78	3500	NaN	1257	-55.4	2.3	-425	-54.7	12.6
-77.72	104.78	3510	NaN	1216	-55.2	3	-444.7	-56.9	13.5
-77	102.92	3550	NaN	1147	-54.6	3.3	-427.9	-55.2	13.9
-76.6	102	3550	NaN	1110	-54.3	3.6	-417.7	-53.8	12.9
-75.9	100.52	3560	NaN	1049	-53.7	3.7	-423.9	-54.2	9.6
-75.55	100.52	3550	NaN	1012	-53.4	3.7	-416.4	-53.5	11.7
-74.73	98.68	3550	NaN	914	-52.9	3.7	-407	-52	9.4
-74.35	98	3500	NaN	868	-52.6	6.6	-399.2	-51.7	14.1
-73.68	97.43	3490	NaN	792	-50.7	6.1	-387.6	-49.8	10.4
-73.3	97.15	3430	NaN	749	-49.6	7.1	-375.3	-47.6	5.7
-72.85	96.98	3380	NaN	699	-48.3	7.8	-364.9	-46.4	6.4
-72.47	96.75	3320	NaN	656	-47.1	9.1	-344.2	-43.9	7
-71.7	96.28	3180	NaN	569	-45.3	12.3	-353.4	-44.3	1.1
-71.33	96.02	3090	NaN	526	-43.9	12.3	-351	-44.6	5.6
-70.95	95.9	2980	NaN	484	-42.5	12.9	-335.1	-43	8.7
-70.55	95.72	2870	NaN	439	-41.1	12.6	-322.6	-40.9	4.7
-70.18	95.58	2820	NaN	398	-39.7	16	-290.8	-37.1	5.8
-69.77	95.37	2720	NaN	351	-38	12.6	-283.4	-36	4.3
-69.43	95.12	2650	NaN	313	-35.5	11.2	-298.7	-37.9	4.1
-68.85	94.62	2400	NaN	247	-31	10.8	-248.6	-32	7.4
-68.08	93.83	2080	NaN	159	-27.7	18.9	-229.6	-29.4	5.5
-67.7	93.65	1850	NaN	117	-24.1	40.3	-202.9	-25.3	-0.3
-67.35	93.43	1480	NaN	76	-20.9	49	-164.6	-20.9	2.6
NaN	NaN	40	0	0	-11.2	NaN	-153.3	NaN	NaN
NaN	NaN	220	2	2	-14.5	NaN	-149.9	NaN	NaN
NaN	NaN	230	4	4	-15.6	NaN	-154.8	NaN	NaN
NaN	NaN	270	5	5	-14.3	NaN	-153.3	NaN	NaN
NaN	NaN	460	11	11	-16.3	NaN	-145.5	-19.59	11.23
NaN	NaN	405	13	13	-16.1	NaN	-153.8	NaN	NaN
NaN	NaN	470	16	16	-17.8	NaN	-148	NaN	NaN
NaN	NaN	615	18	18	-17.5	NaN	-148.5	NaN	NaN
NaN	NaN	730	26	26	-18.2	NaN	-142.5	NaN	NaN
NaN	NaN	680	26	26	-19.3	NaN	-149.9	NaN	NaN
NaN	NaN	790	33	33	-19.8	NaN	-146.7	NaN	NaN
NaN	NaN	850	33	33	-19.4	NaN	-155.4	NaN	NaN
NaN	NaN	975	43	43	-19.8	NaN	-167.2	-21.73	6.64
NaN	NaN	1210	63	63	-22.4	NaN	-175.4	NaN	NaN
NaN	NaN	1320	73	73	-23.3	NaN	-194.8	NaN	NaN
NaN	NaN	1410	83	83	-24	NaN	-201.9	-26.05	6.49
NaN	NaN	1550	103	103	-25.4	NaN	-214.2	NaN	NaN
NaN	NaN	1660	123	123	-26.9	NaN	-218.8	NaN	NaN
NaN	NaN	1795	143	143	-28.2	NaN	-221.7	NaN	NaN
NaN	NaN	1850	153	153	-28.8	NaN	-231.4	-30.39	11.69
NaN	NaN	1935	173	173	-29.8	NaN	-235.4	NaN	NaN
NaN	NaN	2050	203	203	-32.1	NaN	-254.6	NaN	NaN
NaN	NaN	2220	223	223	-34.3	NaN	-252.5	-32.93	10.91
NaN	NaN	2280	243	243	-36.9	NaN	-261.3	NaN	NaN
NaN	NaN	2290	253	253	-37.9	NaN	-269.7	-35.29	12.65
NaN	NaN	2305	283	283	-37.6	NaN	-278.7	NaN	NaN
NaN	NaN	2325	313	313	-39.5	NaN	-291.8	NaN	NaN
NaN	NaN	2340	333	333	-40.4	NaN	-288.3	NaN	NaN
NaN	NaN	2360	353	353	-41.2	NaN	-287	NaN	NaN
NaN	NaN	2365	373	373	-41.4	NaN	-288.2	NaN	NaN
NaN	NaN	2370	403	403	-41.6	NaN	-294	NaN	NaN
NaN	NaN	2430	433	433	-42.1	NaN	-300.8	-39.43	14.66
NaN	NaN	2490	453	453	-42.3	NaN	-295.7	NaN	NaN
NaN	NaN	2545	483	483	-42.6	NaN	-304.9	NaN	NaN
NaN	NaN	2580	503	503	-42.9	NaN	-311.3	NaN	NaN
NaN	NaN	2630	523	523	-43.3	NaN	-319.7	NaN	NaN
NaN	NaN	2700	563	563	-44.2	NaN	-332.9	NaN	NaN
NaN	NaN	2770	603	603	-45.6	NaN	-331.5	NaN	NaN
NaN	NaN	2810	633	633	-46.5	NaN	-330.3	-43.45	17.28
NaN	NaN	2875	663	663	-47.3	NaN	-332.2	NaN	NaN
NaN	NaN	2870	673	673	-47.6	NaN	-353.5	NaN	NaN
NaN	NaN	2895	693	693	-48.1	NaN	-342.5	NaN	NaN
NaN	NaN	2935	713	713	-48.7	NaN	-355.8	NaN	NaN
NaN	NaN	2960	733	733	-49.3	NaN	-359.3	NaN	NaN
NaN	NaN	2990	763	763	-50.4	NaN	-367.5	-48.54	20.82
NaN	NaN	3000	783	783	-51.2	NaN	-359.7	NaN	NaN
NaN	NaN	3010	813	813	-52.5	NaN	-353.1	NaN	NaN
NaN	NaN	3010	833	833	-53.5	NaN	-371.6	-48.64	17.54
NaN	NaN	NaN	NaN	NaN	-10.84	NaN	-138.18	-18.01	5.9
-74.11	155.36	272	NaN	270	-14.3	15	-141.9	-18.43	5.5
-74.14	155.17	534	NaN	272	-17.3	48	-143.4	-18.6	6.97
-74.26	154.78	848	NaN	273	-19.4	57	-150.58	-19.49	5.35
-74.88	154.04	1550	NaN	258	-25.8	27	-210.07	-26.78	4.2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-227.3	-28.97	4.2
-75.77	152.84	2053	NaN	272	-32.1	34	-254.37	-32.42	4.43
-76.24	152.45	2276	NaN	270	-36.3	25	-253.57	-32.2	4.65
-76.24	152.19	2289	NaN	276	-37.9	26.7	-262.7	-33.32	3.45
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-276.8	-34.97	3.65
NaN	NaN	2343	NaN	NaN	-41	23	-283.53	-36.03	5.15
-77.81	149.8	2429	NaN	329	-42.1	22	-302.21	-38.28	4.01
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-147.09	-18.94	4.45
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-169.74	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-25.96	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-226.52	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-242.56	-31.08	6.1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-253.89	-32.38	5.26
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-32.12	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-216.47	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-297.9	NaN	NaN
-69.01	130.81	2197	NaN	239	-33.26	NaN	-262.48	-33.72	7.28
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-291.44	-36.82	3.1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-141.18	NaN	NaN
-71.88	77.43	2325	NaN	261	NaN	13.14	NaN	-38.3	NaN
-73.37	77.02	2577	NaN	423	NaN	15.33	NaN	-41.02	NaN
-72.82	57.33	2689	NaN	590	NaN	12.3	NaN	-44.33	NaN
-68.65	60.25	1830	NaN	116	NaN	27.77	NaN	-35.86	NaN
-69.35	110.85	2307	NaN	286	NaN	30.61	NaN	-32.88	NaN
-69.58	48.83	2165	NaN	202	NaN	32.76	NaN	-33.78	NaN
-67.57	-68.13	5	NaN	8	-4.3	86.6	-110.9	-13.73	-1
-75.58	-20.57	30	NaN	129	-18.5	49.8	-156.4	-20.75	6.7
-65.25	-64.27	10	NaN	10	-3.6	39.8	-81.7	-10.42	1.4
-62.12	-58.56	9	NaN	156	-3.2	57.3	-88.6	-12.15	9.2
-72.75	-15.5	34	NaN	53	-19.75	39.3	-166.3	-21.4	4.9
-73.1	-13.17	363	NaN	123	-16.35	17.9	-183.1	-23.3	3.3
-74.48	-11.52	1160	NaN	272	-20.55	26.7	-243.2	-30.4	0
-75	0.01	2892	NaN	529	-43.15	7.4	-344.8	-43.6	4
-78.31	-46.27	720	50	36	-24.1	20.7	-198	-25.5	6
-79.62	-45.72	890	200	167	-26.1	13	-221.31	-28.3	5.09
-74.68	164.5	50	NaN	8	-17.8	NaN	NaN	-23.92	NaN
-74.25	164.07	800	NaN	27	-21.5	15	NaN	-27.25	NaN
-73.75	163.33	1560	NaN	76	-25.3	15	NaN	-33.53	NaN
-70.65	-8.25	40	NaN	7	-16	NaN	-158.59	-20.85	8.72
-70.45	79.32	2044	NaN	163	NaN	NaN	NaN	-32.04	NaN
-68.91	78.85	933	NaN	40	-18.33	NaN	NaN	-26.21	NaN
-69.2	79.79	1447	NaN	76	-22.28	NaN	NaN	-29.24	NaN
-69.5	80.75	1764	NaN	122	-25.1	NaN	NaN	-31.41	NaN
-69.68	81.42	1973	NaN	154	NaN	NaN	NaN	-31.83	NaN
-68	81	611	NaN	41	-15.48	NaN	NaN	-21.42	NaN
-67.72	83.66	494	NaN	91	-12.45	NaN	NaN	-24.78	NaN
-68.01	83.65	981	NaN	97	-18.5	NaN	NaN	-25.29	NaN
-68.35	84	1425	NaN	127	-20.98	NaN	NaN	-28.4	NaN
-68.78	84.3	1800	NaN	167	-24.48	NaN	NaN	-30.56	NaN
-69.28	84.56	2048	NaN	216	NaN	NaN	NaN	-34.27	NaN
-69.13	86	2078	NaN	244	-28	NaN	NaN	-32.82	NaN
-68.97	87.29	2047	NaN	264	NaN	NaN	NaN	-32.44	NaN
-67.23	88.24	837	NaN	95	-17.43	NaN	NaN	-22.99	NaN
-67.91	88.35	1406	NaN	141	-22.25	NaN	NaN	-29.37	NaN
-68.39	88.6	1733	NaN	183	-25	NaN	NaN	-31.89	NaN
-68.83	88.93	2048	NaN	226	NaN	NaN	NaN	-33.94	NaN
-66.91	91.75	983	NaN	62	-18.3	NaN	NaN	-24.04	NaN
-67.52	92.19	1550	NaN	100	NaN	NaN	NaN	-27.6	NaN
-68	92.56	1822	NaN	148	-26.85	NaN	NaN	-30.51	NaN
-68.43	92.87	2075	NaN	195	NaN	NaN	NaN	-32.48	NaN
-74.86	-2.55	2817	NaN	460	-43.8	NaN	-343.17	-44.15	10.02
-74.97	3.92	3014	NaN	539	-44.4	NaN	-353.39	-45.45	9.76
-75.58	-3.43	2669	NaN	497	NaN	58.98	-347.64	-44.41	6.64
-74.5	1.96	2843	NaN	492	-42.2	88.9	-342.91	-43.75	5.05
-75	0.01	2880	NaN	529	NaN	70.22	-348.63	-44.17	5.55
-75.75	3.28	2962	NaN	628	-44.6	61.83	-362.26	-46.47	8.62
-74.4	7.22	3161	NaN	473	-45.9	51.76	-369.88	-47.11	6.99
-75	8.01	2880	NaN	543	-47.5	51.43	-370.31	-47.45	9.31
-75.93	7.21	3145	NaN	643	-47.9	42.84	-375.24	-48.3	11.14
-75.22	11.35	3349	NaN	570	-48.7	46.78	-383.83	-49.05	8.57
-74.85	-8.5	2600	NaN	350	-37.1	197	NaN	-38.61	NaN
-75.58	-3.43	2669	NaN	497	-44.3	58.16	-348.73	-44.5	7.4
-75.17	-1	2840	NaN	516	-43.4	52.12	NaN	-44.63	NaN
-75.17	-1	2840	NaN	516	-40.5	52.87	NaN	-42.33	NaN
-75	0.01	2882	NaN	529	-44.5	79.44	-349.01	-44.48	6.81
-75	0.04	2880	NaN	530	NaN	70.45	NaN	-44.14	NaN
-74.75	1	2860	NaN	513	-43.1	73.36	-341.78	-43.54	6.58
-74.5	1.96	2843	NaN	492	NaN	90.04	NaN	-43.79	NaN
-74.67	4	2980	NaN	506	-44	88.55	-386.54	-49.39	8.6
