%Latitude	Longitude	Elevation (m)	WMO Station #	Weighted Annual d2H (‰)	Weighted Annual d18O (‰)	Weighted Annual d-excess (‰)	Weighted Monthly d2H (‰)	Weighted Monthly d18O (‰)	Weighted Monthly d-excess (‰)
36.11	37.13	410.00	4000700	-38.30	-6.98	17.53	-999.99	-999.99	-999.99
36.11	37.13	410.00	4000700	-38.30	-6.98	17.53	-37.80	-7.12	19.16
82.30	-62.20	62.00	7108200	-216.58	-28.68	12.83	-255.37	-33.94	16.14
82.30	-62.20	62.00	7108200	-216.58	-28.68	12.83	-272.91	-35.81	13.56
82.30	-62.20	62.00	7108200	-216.58	-28.68	12.83	-296.45	-38.85	14.39
82.30	-62.20	62.00	7108200	-216.58	-28.68	12.83	-241.84	-30.77	4.29
82.30	-62.20	62.00	7108200	-216.58	-28.68	12.83	-217.61	-28.81	12.84
82.30	-62.20	62.00	7108200	-216.58	-28.68	12.83	-181.32	-23.97	10.46
82.30	-62.20	62.00	7108200	-216.58	-28.68	12.83	-170.52	-22.70	11.07
82.30	-62.20	62.00	7108200	-216.58	-28.68	12.83	-177.42	-23.91	13.84
82.30	-62.20	62.00	7108200	-216.58	-28.68	12.83	-189.79	-25.33	12.88
82.30	-62.20	62.00	7108200	-216.58	-28.68	12.83	-248.82	-33.54	19.54
82.30	-62.20	62.00	7108200	-216.58	-28.68	12.83	-253.28	-33.57	15.29
82.30	-62.20	62.00	7108200	-216.58	-28.68	12.83	-276.49	-36.67	16.89
31.20	29.95	-3.00	6231800	-19.68	-4.41	16.26	-17.43	-4.10	17.30
31.20	29.95	-3.00	6231800	-19.68	-4.41	16.26	-20.28	-4.81	19.15
31.20	29.95	-3.00	6231800	-19.68	-4.41	16.26	-20.82	-4.36	13.06
31.20	29.95	-3.00	6231800	-19.68	-4.41	16.26	-17.04	-3.13	7.87
31.20	29.95	-3.00	6231800	-19.68	-4.41	16.26	-999.99	-999.99	-999.99
31.20	29.95	-3.00	6231800	-19.68	-4.41	16.26	-999.99	-999.99	-999.99
31.20	29.95	-3.00	6231800	-19.68	-4.41	16.26	-999.99	-999.99	-999.99
31.20	29.95	-3.00	6231800	-19.68	-4.41	16.26	-999.99	-999.99	-999.99
31.20	29.95	-3.00	6231800	-19.68	-4.41	16.26	-13.70	-1.80	0.70
31.20	29.95	-3.00	6231800	-19.68	-4.41	16.26	-12.45	-3.33	14.33
31.20	29.95	-3.00	6231800	-19.68	-4.41	16.26	-23.58	-4.42	11.61
31.20	29.95	-3.00	6231800	-19.68	-4.41	16.26	-21.83	-5.16	19.51
-23.80	133.88	546.00	9432600	-37.13	-6.38	12.38	-60.43	-8.30	12.46
-23.80	133.88	546.00	9432600	-37.13	-6.38	12.38	-63.01	-9.45	12.60
-23.80	133.88	546.00	9432600	-37.13	-6.38	12.38	-57.25	-10.34	12.39
