%TIMESTAMP,Latitude ,Longitude ,Q,Delta_18O,Delta_18O_std,Delta_D,Delta_D_std,Ta,RH,P,Pricipitation,Rn,U,WD
201311270300,-31.967,115.675,15731,-12.38,-9999,-85.6,-9999,24,0.57,100.66,-9999,-9999,8.406438009,21.71345475
201311270400,-31.9,115.417,16239,-12.24,-9999,-84.2,-9999,22.2,0.63,100.7,-9999,-9999,9.609703429,11.40381285
201311270500,-31.983,115.175,16539,-11.98,-9999,-83.1,-9999,22,0.65,100.63,-9999,-9999,10.57529196,5.861714275
201311270600,-32.15,115.05,16694,-11.76,-9999,-82.9,-9999,22.7,0.63,100.49,-9999,-9999,10.71539547,13.71243349
201311270700,-32.367,114.917,18438,-10.95,-9999,-81.2,-9999,22.7,0.65,100.46,-9999,-9999,12.03879147,18.45054309
201311270800,-32.567,114.783,18898,-10.8,-9999,-80.7,-9999,21.9,0.74,100.45,-9999,-9999,13.23748088,12.96580141
201311270900,-32.767,114.667,18253,-11.22,-9999,-81.3,-9999,21.5,0.8,100.48,-9999,-9999,13.32714523,4.820908259
201311271000,-32.967,114.55,17966,-11.34,-9999,-82,-9999,20.9,0.75,100.53,-9999,-9999,13.24665996,1.816984132
201311271100,-33.167,114.417,18082,-11.1,-9999,-82.4,-9999,20.5,0.76,100.57,-9999,-9999,13.25990196,373.259902
201311271200,-33.367,114.283,18104,-11.12,-9999,-82,-9999,20.2,0.78,100.63,-9999,-9999,13.01863664,373.0186366
201311271300,-33.567,114.158,18162,-10.98,-9999,-81.8,-9999,20.2,0.78,100.71,-9999,-9999,12.26652355,372.2665235
201311271400,-33.758,114.033,18138,-10.82,-9999,-81.8,-9999,19.9,0.8,100.79,-9999,-9999,10.70986461,370.7098646
201311271500,-33.958,113.917,17923,-10.8,-9999,-81.6,-9999,19.3,0.82,100.8,-9999,-9999,10.60845889,370.6084589
201311271600,-34.167,113.783,17503,-11.06,-9999,-82,-9999,19.2,0.82,100.77,-9999,-9999,11.1536048,371.1536048
201311271700,-34.367,113.65,17237,-11.16,-9999,-82.5,-9999,19.5,0.8,100.76,-9999,-9999,10.86519673,370.8651967
201311271800,-34.592,113.5,16827,-11.34,-9999,-84,-9999,19.3,0.81,100.76,-9999,-9999,10.94306173,370.9430617
201311271900,-34.817,113.367,16433,-11.74,-9999,-86.2,-9999,19.1,0.79,100.76,-9999,-9999,10.82560391,370.8256039
201311272000,-35.05,113.233,16495,-11.72,-9999,-87.2,-9999,19.1,0.79,100.76,-9999,-9999,10.2140002,370.2140002
201311272100,-35.275,113.083,16849,-11.48,-9999,-87.7,-9999,19,0.79,100.77,-9999,-9999,9.742946166,369.7429462
201311272200,-35.5,112.95,17575,-10.96,-9999,-85.6,-9999,18.9,0.8,100.75,-9999,-9999,9.313994846,369.3139948
201311272300,-35.7,112.833,17807,-10.84,-9999,-85.2,-9999,19.2,0.82,100.73,-9999,-9999,11.33846991,371.3384699
201311280000,-35.9,112.717,17930,-10.68,-9999,-84.3,-9999,19.3,0.82,100.65,-9999,-9999,11.18424338,371.1842434
201311280100,-36.1,112.617,17634,-10.82,-9999,-84.7,-9999,19.4,0.82,100.76,-9999,-9999,10.13750462,370.1375046
201311280200,-36.3,112.517,18160,-10.58,-9999,-83.8,-9999,19.7,0.81,100.37,-9999,-9999,9.758729425,369.7587294
201311280300,-36.5,112.4,18527,-10,-9999,-82,-9999,19.8,0.82,100.29,-9999,-9999,8.306575708,368.3065757
201311280400,-36.708,112.3,18386,-10.1,-9999,-82.8,-9999,19.2,0.83,100.44,-9999,-9999,7.875563472,367.8755635
201311280500,-36.917,112.183,19014,-9.24,-9999,-78.3,-9999,19,0.84,100.35,-9999,-9999,8.14926377,368.1492638
201311280600,-37.117,112.067,18467,-9.94,-9999,-79.8,-9999,20.1,0.8,100.27,-9999,-9999,8.497793831,368.4977938
201311280700,-37.283,111.95,18082,-10.48,-9999,-82.3,-9999,19.5,0.83,100.19,-9999,-9999,9.691320859,369.6913209
201311280800,-37.483,111.85,18047,-10.52,-9999,-82.5,-9999,20.5,0.79,100.06,-9999,-9999,9.67235752,369.6723575
201311280900,-37.617,111.783,18165,-10.04,-9999,-80.8,-9999,19,0.83,99.98,-9999,-9999,9.029695454,369.0296955
201311281000,-37.817,111.667,16340,-11,-9999,-86.3,-9999,18.3,0.85,99.98,-9999,-9999,8.578537171,368.5785372
201311281100,-38.017,111.55,15390,-11.46,-9999,-89,-9999,17.9,0.86,99.85,-9999,-9999,9.051657307,369.0516573
201311281200,-38.225,111.433,15536,-11.16,-9999,-87.6,-9999,17.6,0.84,99.81,-9999,-9999,10.4465736,370.4465736
201311281300,-38.433,111.317,15562,-11.7,-9999,-90.1,-9999,17.1,0.84,99.81,-9999,-9999,11.32306054,371.3230605
201311281400,-38.633,111.192,15631,-12.42,-9999,-94.8,-9999,16.6,0.87,99.74,-9999,-9999,12.1121468,372.1121468
201311281500,-38.85,111.067,15693,-13.98,-9999,-105.7,-9999,16.4,0.89,99.72,-9999,-9999,11.23007124,371.2300712
201311281600,-39.05,110.95,15160,-13.44,-9999,-101.4,-9999,16.3,0.88,99.58,-9999,-9999,9.154780172,369.1547802
201311281700,-39.267,110.833,14163,-13.3,-9999,-97,-9999,14.8,0.89,99.52,-9999,-9999,6.976546424,164.1158489
201311281800,-39.467,110.733,13889,-12.92,-9999,-96.2,-9999,14.9,0.85,99.48,-9999,-9999,6.480030864,172.2000907
201311281900,-39.667,110.625,14030,-12.72,-9999,-95,-9999,14.8,0.86,99.42,-9999,-9999,5.842473791,178.3378739
201311282000,-39.867,110.508,13779,-12.6,-9999,-95.1,-9999,14.5,0.88,99.39,-9999,-9999,4.673435567,364.6734356
201311282100,-40.067,110.383,14104,-12.8,-9999,-95.6,-9999,14.4,0.87,99.38,-9999,-9999,5.547071299,365.5470713
201311282200,-40.267,110.267,16320,-11.08,-9999,-88.3,-9999,14.8,0.85,99.37,-9999,-9999,4.204200281,364.2042003
201311282300,-40.467,110.15,17012,-9.18,-9999,-72.2,-9999,15.2,0.83,99.43,-9999,-9999,3.24784544,363.2478454
201311290000,-40.667,110.033,14845,-11.26,-9999,-84.4,-9999,15.5,0.8,99.47,-9999,-9999,2.910841803,362.9108418
201311290100,-40.833,109.983,13687,-12.56,-9999,-91.7,-9999,15.5,0.81,99.57,-9999,-9999,1.976992666,361.9769927
201311290200,-40.85,109.983,13498,-12.68,-9999,-93.4,-9999,17.3,0.74,99.49,-9999,-9999,1.574293492,361.5742935
201311290300,-41.033,110,13141,-13.14,-9999,-95.2,-9999,16,0.76,99.44,-9999,-9999,0.586941224,360.5869412
201311290400,-41.25,109.983,12895,-13.56,-9999,-96.4,-9999,16,0.76,99.26,-9999,-9999,0.253179778,360.2531798
201311290500,-41.475,110,12924,-13.72,-9999,-96.9,-9999,16.2,0.73,99.46,-9999,-9999,2.392007525,37.01470751
201311290600,-41.7,110,12966,-13.76,-9999,-97.6,-9999,16,0.75,99.45,-9999,-9999,4.825453347,42.98582568
201311290700,-41.925,110,13156,-13.46,-9999,-96.9,-9999,16,0.74,99.6,-9999,-9999,4.526510798,37.7317749
201311290800,-42.15,109.983,13946,-12.34,-9999,-97.2,-9999,14.3,0.82,99.47,-9999,-9999,3.712478956,363.712479
201311290900,-42.383,109.983,14175,-10.78,-9999,-90,-9999,13.9,0.9,99.55,-9999,-9999,6.993854445,366.9938544
201311291000,-42.6,109.983,13649,-10.68,-9999,-88.8,-9999,13.5,0.91,99.59,-9999,-9999,10.28185295,3.736342586
201311291100,-42.817,110,13354,-10.76,-9999,-88.6,-9999,13,0.93,99.71,-9999,-9999,11.91082281,371.9108228
201311291200,-43.033,110,12841,-11,-9999,-89.7,-9999,12.4,0.93,99.71,-9999,-9999,14.03552635,374.0355264
201311291300,-43.25,109.983,12292,-11.82,-9999,-93.7,-9999,11.8,0.94,99.84,-9999,-9999,15.2237479,375.2237479
201311291400,-43.467,109.983,11656,-13.2,-9999,-102.9,-9999,11.2,0.94,99.9,-9999,-9999,16.39512732,376.3951273
201311291500,-43.683,109.983,10340,-13.02,-9999,-96.7,-9999,9.6,0.93,100,-9999,-9999,18.17186011,378.1718601
201311291600,-43.883,110,10052,-12.23,-9999,-89.5,-9999,10,0.82,100.05,-9999,-9999,17.49504215,1.375661119
201311291700,-44.1,109.983,10063,-11.38,-9999,-87.6,-9999,10.1,0.78,100.12,-9999,-9999,17.08338374,377.0833837
201311291800,-44.308,109.983,10022,-11.22,-9999,-89.9,-9999,10.1,0.86,100.13,-9999,-9999,16.67634552,376.6763455
201311291900,-44.525,109.983,9336,-9999,-9999,-86.9,-9999,9.8,0.79,100.23,-9999,-9999,17.50457083,1.309428438
201311292000,-44.733,110,8551,-9999,-9999,-83.8,-9999,8.8,0.68,100.31,-9999,-9999,17.35871539,377.3587154
201311292100,-44.958,110,8412,-9999,-9999,-81.2,-9999,8.3,0.65,100.41,-9999,-9999,16.53760865,376.5376087
201311292200,-45.183,110,8510,-9999,-9999,-77.6,-9999,8.1,0.62,100.47,-9999,-9999,15.42002918,375.4200292
201311292300,-45.4,110,8538,-9999,-9999,-74.3,-9999,7.9,0.59,100.58,-9999,-9999,15.16301091,375.1630109
201311300000,-45.633,110,9351,-9999,-9999,-63.5,-9999,7.9,0.58,100.68,-9999,-9999,13.14085614,373.1408561
201311300100,-45.783,110,9466,-9999,-9999,-53.9,-9999,8,0.57,100.81,-9999,-9999,11.77648504,371.776485
201311300200,-46,110,6109,-9999,-9999,-91.8,-9999,7.9,0.54,100.83,-9999,-9999,11.04471819,371.0447182
201311300300,-46.233,110,5534,-9999,-9999,-9999,-9999,7.9,0.54,100.88,-9999,-9999,9.500526301,369.5005263
201311300400,-46.467,110,-9999,-9999,-9999,-9999,-9999,7.9,0.53,100.9,-9999,-9999,8.683277031,368.683277
201311300500,-46.7,110,5196,-9999,-9999,-9999,-9999,7.9,0.53,100.88,-9999,-9999,7.295155927,367.2951559
201311300600,-46.933,110,5225,-9999,-9999,-9999,-9999,8.2,0.49,100.89,-9999,-9999,5.554421662,365.5544217
201311300700,-47.15,110,5627,-13.9,-9999,-96.1,-9999,8.5,0.51,100.87,-9999,-9999,4.994006408,2.295263232
201311300800,-47.383,109.983,5116,-9999,-9999,-9999,-9999,7.9,0.51,100.83,-9999,-9999,3.38245473,363.3824547
201311300900,-47.617,110,5191,-9999,-9999,-9999,-9999,7.4,0.54,100.8,-9999,-9999,1.348258136,361.3482581
201311301000,-47.858,109.983,5435,-9999,-9999,-9999,-9999,6.8,0.55,100.75,-9999,-9999,2.225758298,362.2257583
201311301100,-48.083,110,5622,-14.82,-9999,-97.7,-9999,6.7,0.58,100.75,-9999,-9999,3.413297526,363.4132975
201311301200,-48.3,110,5644,-14.9,-9999,-97.4,-9999,6.7,0.59,100.68,-9999,-9999,4.710679357,179.032197
201311301300,-48.517,110,5815,-14.84,-9999,-98.9,-9999,6.7,0.6,100.63,-9999,-9999,5.546692708,365.5466927
201311301400,-48.717,109.983,5910,-15.06,-9999,-96.3,-9999,6.9,0.61,100.55,-9999,-9999,6.363874606,366.3638746
201311301500,-48.917,109.983,6146,-15.32,-9999,-95.7,-9999,7.2,0.64,100.5,-9999,-9999,8.372628022,368.372628
201311301600,-49.133,109.983,6208,-15.08,-9999,-95.5,-9999,6.8,0.69,100.43,-9999,-9999,7.576621939,367.5766219
201311301700,-49.333,110,6321,-15.12,-9999,-96.1,-9999,6.8,0.69,100.34,-9999,-9999,7.52027925,367.5202793
201311301800,-49.533,109.983,6386,-17.06,-9999,-109.7,-9999,6.6,0.71,100.24,-9999,-9999,9.234246044,369.234246
201311301900,-49.742,110,6335,-18.76,-9999,-124.7,-9999,6.2,0.7,100.16,-9999,-9999,8.427128811,173.9427429
201311302000,-49.95,109.983,6057,-21.74,-9999,-153.9,-9999,6,0.74,100.11,-9999,-9999,7.956846109,367.9568461
201311302100,-50.15,110,6141,-22.64,-9999,-159.8,-9999,5.3,0.73,100.1,-9999,-9999,6.303173804,178.1869522
201311302200,-50.35,110,6229,-23.02,-9999,-163.3,-9999,4.8,0.75,100.1,-9999,-9999,1.693074127,150.2595502
201311302300,-50.55,109.983,6399,-21.82,-9999,-152.8,-9999,3.7,0.8,100.1,-9999,-9999,1.445856148,361.4458561
201312010000,-50.75,109.983,6970,-21.96,-9999,-150.8,-9999,3.7,0.83,100.14,-9999,-9999,0.200249844,2.862489648
201312010100,-50.9,109.983,7775,-21.22,-9999,-148.8,-9999,4.1,0.83,100.15,-9999,-9999,0.937229961,129.8093995
201312010200,-50.9,110,7527,-19.84,-9999,-136.4,-9999,4.9,0.81,100.13,-9999,-9999,2.392822601,102.0643196
201312010300,-51,110,6974,-21.16,-9999,-150.3,-9999,4.6,0.81,100.1,-9999,-9999,3.678532316,74.22795267
201312010400,-51.217,110,6446,-15.5,-9999,-108.3,-9999,5.3,0.79,100.08,-9999,-9999,5.936303564,50.94977988
201312010500,-51.45,109.983,6213,-14.94,-9999,-107.5,-9999,5.5,0.74,100.08,-9999,-9999,6.244461546,39.47779051
201312010600,-51.683,109.983,5472,-9999,-9999,-9999,-9999,5.3,0.73,100.03,-9999,-9999,6.9330657,28.89491936
201312010700,-51.917,110,5078,-9999,-9999,-9999,-9999,5.3,0.64,100.06,-9999,-9999,6.479783947,40.87104207
201312010800,-52.133,110,5107,-9999,-9999,-9999,-9999,5.7,0.6,100.07,-9999,-9999,5.66296742,58.72564539
201312010900,-52.367,110,4965,-9999,-9999,-9999,-9999,5.5,0.58,100.07,-9999,-9999,5.552116713,74.1134903
201312011000,-52.6,109.983,5146,-9999,-9999,-9999,-9999,5,0.61,100.05,-9999,-9999,5.926153896,87.3912349
201312011100,-52.833,109.983,5043,-9999,-9999,-9999,-9999,4.3,0.65,100.11,-9999,-9999,6.228523099,94.4226559
201312011200,-53.067,109.983,5219,-9999,-9999,-9999,-9999,4,0.65,100.01,-9999,-9999,5.97200134,109.7732276
201312011300,-53.3,109.983,5329,-9999,-9999,-9999,-9999,3.7,0.7,100.01,-9999,-9999,6.232383172,124.2801845
201312011400,-53.517,110,5493,-9999,-9999,-9999,-9999,3.6,0.71,99.98,-9999,-9999,6.662169316,132.1445289
201312011500,-53.75,109.983,5492,-14,-9999,-100.7,-9999,3.6,0.74,99.91,-9999,-9999,7.395518914,132.647616
201312011600,-53.967,110,5665,-14.16,-9999,-101,-9999,3.5,0.72,99.87,-9999,-9999,8.128892914,141.1462143
201312011700,-54.192,110,5727,-14.08,-9999,-99.8,-9999,3.4,0.74,99.84,-9999,-9999,8.5564128,145.9613666
201312011800,-54.417,110,5797,-13.9,-9999,-99.6,-9999,3.3,0.75,99.76,-9999,-9999,8.665817907,151.0140682
201312011900,-54.633,110,5796,-14.02,-9999,-102.6,-9999,3.2,0.78,99.7,-9999,-9999,7.011027029,144.8180967
201312012000,-54.85,110,6161,-14.34,-9999,-100.3,-9999,2.9,0.8,99.94,-9999,-9999,8.239520617,152.2265168
201312012100,-55.083,110,6681,-13.6,-9999,-92.6,-9999,3.4,0.79,99.59,-9999,-9999,8.157511876,145.5934403
201312012200,-55.3,110,6023,-9999,-9999,-9999,-9999,2.2,0.87,99.54,-9999,-9999,4.514864339,119.748413
201312012300,-55.508,110,5188,-9999,-9999,-9999,-9999,0.4,0.83,99.52,-9999,-9999,4.246233625,364.2462336
201312020000,-55.717,110,5102,-9999,-9999,-9999,-9999,0.3,0.83,99.55,-9999,-9999,3.747599232,19.16073822
201312020100,-55.883,109.958,5344,-9999,-9999,-9999,-9999,1.2,0.76,99.58,-9999,-9999,2.301847084,23.55880917
201312020200,-55.867,109.983,5061,-9999,-9999,-9999,-9999,2.7,0.7,99.6,-9999,-9999,3.724862414,33.39241734
201312020300,-56.05,110,4740,-9999,-9999,-9999,-9999,1.8,0.81,99.67,-9999,-9999,5.195767508,49.99823524
201312020400,-56.267,109.983,4514,-9999,-9999,-9999,-9999,2.4,0.67,99.54,-9999,-9999,6.516786018,62.49308953
201312020500,-56.467,110,4609,-9999,-9999,-9999,-9999,2.5,0.66,99.6,-9999,-9999,7.04569372,75.78848386
201312020600,-56.683,110,4494,-9999,-9999,-9999,-9999,2.3,0.67,99.54,-9999,-9999,7.669947849,68.99134004
201312020700,-56.9,110,4584,-9999,-9999,-9999,-9999,2.8,0.65,99.51,-9999,-9999,8.503516919,68.83874346
201312020800,-57.1,109.983,4525,-9999,-9999,-9999,-9999,2.3,0.67,99.52,-9999,-9999,8.539707255,74.02913945
201312020900,-57.317,110,4467,-9999,-9999,-9999,-9999,2,0.68,99.5,-9999,-9999,9.181922457,74.7853972
201312021000,-57.533,109.983,4464,-9999,-9999,-9999,-9999,2.3,0.66,99.49,-9999,-9999,9.577734596,75.92246889
201312021100,-57.75,109.983,4645,-9999,-9999,-9999,-9999,1.6,0.68,99.6,-9999,-9999,9.281621626,72.05520347
201312021200,-57.967,109.95,4466,-9999,-9999,-9999,-9999,1.1,0.72,99.51,-9999,-9999,9.729506668,61.25035177
201312021300,-58.175,109.967,4560,-9999,-9999,-9999,-9999,0.9,0.71,99.5,-9999,-9999,9.566049341,63.75826079
201312021400,-58.392,109.933,4622,-9999,-9999,-9999,-9999,0.6,0.72,99.5,-9999,-9999,10.72791685,68.62707686
201312021500,-58.617,109.967,4705,-9999,-9999,-9999,-9999,0.8,0.75,99.49,-9999,-9999,10.0758027,63.66570322
201312021600,-58.825,109.983,4161,-9999,-9999,-9999,-9999,0.2,0.75,99.54,-9999,-9999,9.264232294,51.39966021
201312021700,-59.033,110,3761,-9999,-9999,-9999,-9999,0.4,0.67,99.55,-9999,-9999,9.637893961,50.81247845
201312021800,-59.242,110,3744,-9999,-9999,-9999,-9999,0.3,0.65,99.47,-9999,-9999,8.664161818,46.26400576
201312021900,-59.45,110,4033,-9999,-9999,-9999,-9999,0.3,0.67,99.52,-9999,-9999,8.209263061,52.12655369
201312022000,-59.65,109.983,4138,-9999,-9999,-9999,-9999,-0.1,0.7,99.6,-9999,-9999,7.788099897,58.49543509
201312022100,-59.833,109.983,4538,-9999,-9999,-9999,-9999,-0.2,0.7,99.65,-9999,-9999,5.819501697,66.82923595
201312022200,-59.85,110.017,3959,-9999,-9999,-9999,-9999,0.3,0.71,99.72,-9999,-9999,7.853483304,64.02413086
201312022300,-59.933,109.65,3777,-9999,-9999,-9999,-9999,-0.1,0.65,99.66,-9999,-9999,7.153362846,75.01404116
201312030000,-60.033,109.217,3777,-9999,-9999,-9999,-9999,-0.2,0.65,99.64,-9999,-9999,7.091720525,84.58131215
201312030100,-60.117,108.8,3865,-9999,-9999,-9999,-9999,-0.1,0.65,99.62,-9999,-9999,5.358591233,97.72470795
201312030200,-60.217,108.417,4140,-9999,-9999,-9999,-9999,1,0.65,99.54,-9999,-9999,6.623329978,128.6906236
201312030300,-60.317,108.025,4579,-9999,-9999,-9999,-9999,1,0.69,99.47,-9999,-9999,7.635456764,148.5001129
201312030400,-60.417,107.617,4814,-9999,-9999,-9999,-9999,1,0.74,99.39,-9999,-9999,7.785248872,163.1293378
201312030500,-60.517,107.208,5188,-9999,-9999,-9999,-9999,-0.2,0.79,99.25,-9999,-9999,8.163853257,368.1638533
201312030600,-60.608,106.8,5503,-9999,-9999,-9999,-9999,0.2,0.82,99.08,-9999,-9999,10.21420579,370.2142058
201312030700,-60.683,106.375,5479,-13.66,-9999,-115.1,-9999,0.6,0.83,99,-9999,-9999,10.13320285,370.1332029
201312030800,-60.783,105.975,5549,-13.42,-9999,-114.3,-9999,0.8,0.85,98.79,-9999,-9999,8.516413564,163.8468885
201312030900,-60.883,105.575,5499,-13.44,-9999,-114.4,-9999,0.7,0.87,98.62,-9999,-9999,7.201069365,136.5795462
201312031000,-60.967,105.158,5477,-12.78,-9999,-110,-9999,0.5,0.88,98.44,-9999,-9999,7.048475012,122.7241933
201312031100,-61,104.983,5445,-12.96,-9999,-111.3,-9999,0.5,0.89,98.55,-9999,-9999,6.906699646,110.2485957
201312031200,-61.017,104.792,5485,-12.8,-9999,-109.7,-9999,0.1,0.89,98.32,-9999,-9999,5.522318354,91.66298574
201312031300,-61,104.317,5422,-9999,-9999,-9999,-9999,0.1,0.9,98.27,-9999,-9999,6.680314364,70.31940291
201312031400,-60.983,103.858,5369,-9999,-9999,-9999,-9999,0,0.9,98.25,-9999,-9999,8.523391344,74.41691262
201312031500,-60.983,103.433,5342,-9999,-9999,-9999,-9999,0,0.89,98.29,-9999,-9999,10.7974673,74.80758995
201312031600,-60.967,103,5326,-9999,-9999,-9999,-9999,0,0.89,98.35,-9999,-9999,10.88507694,76.18303179
201312031700,-60.967,102.558,5340,-9999,-9999,-9999,-9999,0,0.86,98.33,-9999,-9999,9.840325198,89.53683159
201312031800,-60.95,102.117,5382,-9999,-9999,-9999,-9999,0.2,0.85,98.27,-9999,-9999,10.85243751,88.78823556
201312031900,-60.933,101.7,5401,-9999,-9999,-9999,-9999,0.3,0.85,98.28,-9999,-9999,9.378597976,95.20276769
201312032000,-60.917,101.267,5468,-11.9,-9999,-102.6,-9999,0.6,0.87,98.32,-9999,-9999,10.58300997,97.60467724
201312032100,-60.917,100.825,5587,-11.98,-9999,-102,-9999,0.8,0.85,98.26,-9999,-9999,11.2386565,105.1151362
201312032200,-60.9,100.392,5800,-12.08,-9999,-99,-9999,0.9,0.85,98.28,-9999,-9999,10.70750204,108.5735217
201312032300,-60.9,99.983,5586,-12.74,-9999,-103.3,-9999,1,0.85,98.27,-9999,-9999,11.45107855,114.0166547
201312040000,-60.883,99.55,5579,-12.1,-9999,-101.2,-9999,0.9,0.84,98.27,-9999,-9999,11.24499889,117.6623413
201312040100,-60.883,99.108,5378,-9999,-9999,-9999,-9999,1.4,0.83,98.18,-9999,-9999,11.42061732,113.920004
201312040200,-60.867,98.675,5263,-9999,-9999,-9999,-9999,1.6,0.82,98.1,-9999,-9999,10.65462341,114.5719477
201312040300,-60.867,98.25,5246,-9999,-9999,-9999,-9999,1.9,0.81,97.97,-9999,-9999,10.7623464,121.6703813
201312040400,-60.867,97.817,5306,-9999,-9999,-9999,-9999,2.1,0.78,97.87,-9999,-9999,11.11778755,116.3841053
201312040500,-60.833,97.383,5205,-9999,-9999,-9999,-9999,1.3,0.8,98.05,-9999,-9999,10.88094205,116.9452857
201312040600,-60.8,96.933,5160,-9999,-9999,-9999,-9999,1.8,0.76,98.02,-9999,-9999,11.37450219,117.6048226
201312040700,-60.783,96.517,5146,-9999,-9999,-9999,-9999,1.5,0.77,97.97,-9999,-9999,11.32434987,114.8032625
201312040800,-60.767,96.075,5115,-9999,-9999,-9999,-9999,1.2,0.79,97.97,-9999,-9999,10.75695124,112.7543018
201312040900,-60.75,95.633,4976,-9999,-9999,-9999,-9999,1.2,0.78,97.98,-9999,-9999,11.73856039,105.1640402
201312041000,-60.733,95.2,4974,-9999,-9999,-9999,-9999,1.2,0.74,97.98,-9999,-9999,10.77842753,115.9741383
201312041100,-60.733,94.767,4973,-9999,-9999,-9999,-9999,1.2,0.78,98.02,-9999,-9999,11.65967838,107.9874845
201312041200,-60.733,94.35,4865,-9999,-9999,-9999,-9999,1,0.76,97.92,-9999,-9999,11.16731839,110.0608707
201312041300,-60.717,93.917,4774,-9999,-9999,-9999,-9999,0.3,0.78,97.93,-9999,-9999,10.72981361,108.0835252
201312041400,-60.7,93.483,4767,-9999,-9999,-9999,-9999,0.1,0.78,97.91,-9999,-9999,10.00560843,108.1121851
201312041500,-60.7,93.05,4764,-9999,-9999,-9999,-9999,0.7,0.76,97.88,-9999,-9999,10.10892675,109.6570581
201312041600,-60.7,92.608,4722,-9999,-9999,-9999,-9999,0.4,0.76,97.83,-9999,-9999,9.585760272,98.52184918
201312041700,-60.683,92.167,4555,-9999,-9999,-9999,-9999,0.6,0.73,97.84,-9999,-9999,9.30742177,98.71631182
201312041800,-60.667,91.733,4549,-9999,-9999,-9999,-9999,0.3,0.73,97.83,-9999,-9999,9.413952411,100.0356098
201312041900,-60.667,91.308,4603,-9999,-9999,-9999,-9999,0.5,0.73,97.79,-9999,-9999,9.839395307,85.5725556
201312042000,-60.65,90.875,4421,-9999,-9999,-9999,-9999,0,0.74,97.84,-9999,-9999,10.86001842,90.10817449
201312042100,-60.667,90.442,4508,-9999,-9999,-9999,-9999,0.3,0.71,97.84,-9999,-9999,11.2589964,92.29333201
201312042200,-60.667,90.017,4783,-9999,-9999,-9999,-9999,0.3,0.76,97.86,-9999,-9999,13.06367865,91.36244619
201312042300,-60.65,89.6,4985,-9999,-9999,-9999,-9999,0.1,0.79,97.84,-9999,-9999,14.0875122,91.87392319
201312050000,-60.6,89.175,5131,-9999,-9999,-9999,-9999,0.1,0.81,98.18,-9999,-9999,15.24724565,85.03602255
201312050100,-60.567,88.758,5261,-9999,-9999,-9999,-9999,0.3,0.82,98,-9999,-9999,15.37961313,82.00403036
201312050200,-60.55,88.35,5278,-9999,-9999,-9999,-9999,0.6,0.82,98.02,-9999,-9999,16.25228907,78.93438179
201312050300,-60.55,87.95,5227,-9999,-9999,-9999,-9999,0.6,0.82,98.02,-9999,-9999,17.07510761,75.48581635
201312050400,-60.533,87.558,5184,-9999,-9999,-9999,-9999,0.6,0.82,98.12,-9999,-9999,18.53953883,75.76361271
201312050500,-60.483,87.183,-9999,-9999,-9999,-9999,-9999,0.9,0.8,98.22,-9999,-9999,17.78290471,72.29060206
201312050600,-60.483,86.8,-9999,-9999,-9999,-9999,-9999,0.8,0.8,98.38,-9999,-9999,17.90895028,70.97022944
201312050700,-60.483,86.433,-9999,-9999,-9999,-9999,-9999,0.8,0.8,98.46,-9999,-9999,17.35900919,70.27276
201312050800,-60.467,86.075,5103,-9999,-9999,-9999,-9999,0.4,0.81,98.66,-9999,-9999,16.85639345,70.81470554
201312050900,-60.467,85.7,5002,-9999,-9999,-9999,-9999,0.5,0.81,98.73,-9999,-9999,14.7145948,71.08692354
201312051000,-60.45,85.325,4780,-9999,-9999,-128.2,-9999,0.3,0.8,98.84,-9999,-9999,13.69,71.07745184
201312051100,-60.45,84.933,4560,-9999,-9999,-132.7,-9999,0.2,0.77,98.88,-9999,-9999,12.72001965,73.09150476
201312051200,-60.45,84.525,4540,-9999,-9999,-131.6,-9999,0,0.76,98.97,-9999,-9999,10.51697675,77.81621786
201312051300,-60.383,84.133,4637,-9999,-9999,-128.8,-9999,-0.2,0.77,98.98,-9999,-9999,7.339162078,82.72249176
201312051400,-60.367,83.708,4957,-9999,-9999,-133.5,-9999,-0.2,0.83,99,-9999,-9999,5.477271218,98.29573098
201312051500,-60.367,83.275,5142,-9999,-9999,-129.8,-9999,-0.1,0.85,98.97,-9999,-9999,4.537895988,108.6377889
201312051600,-60.367,82.85,5243,-9999,-9999,-125,-9999,-0.1,0.87,99.01,-9999,-9999,3.190376153,136.6551144
201312051700,-60.383,82.417,5308,-9999,-9999,-120.9,-9999,0,0.88,98.99,-9999,-9999,3.952518185,144.0621369
201312051800,-60.367,82.008,5438,-9999,-9999,-124.2,-9999,0,0.89,98.96,-9999,-9999,6.373852838,104.1701278
201312051900,-60.383,81.6,5565,-9999,-9999,-125,-9999,0.2,0.91,98.94,-9999,-9999,7.795293452,98.48642348
201312052000,-60.35,81.2,5618,-9999,-9999,-127.5,-9999,0.3,0.91,98.93,-9999,-9999,7.672561502,105.0355317
201312052100,-60.367,80.792,5671,-9999,-9999,-127.5,-9999,0.5,0.9,98.97,-9999,-9999,7.526147753,105.5720506
201312052200,-60.35,80.375,5711,-9999,-9999,-130,-9999,0.6,0.9,98.95,-9999,-9999,7.612706483,109.4140377
201312052300,-60.333,79.95,5825,-9999,-9999,-122.1,-9999,0.4,0.92,99.03,-9999,-9999,7.206837032,111.8342341
201312060000,-60.317,79.525,5876,-9999,-9999,-114.2,-9999,0.7,0.9,99.02,-9999,-9999,6.302927891,121.5753561
