%latitude(N)	longtitude(E)	d18-O(‰)	dD(‰)	RH(％)	SST	T air
19.52	125.6	-9.5806	-69.9193	73	28.1693	27.8
19.5	125.6	-9.2893	-69.2646	74	28.1705	27.8
19.48	125.6	-9.2867	-69.1639	74	28.1723	27.8
19.45	125.6	-9.3837	-69.5164	75	28.1784	27.9
19.42	125.6	-9.1801	-70.0703	74	28.1864	27.9
19.4	125.6	-9.1896	-69.2142	74	28.1939	28.1
19.37	125.6	-9.1031	-67.9552	73	28.1981	28.2
19.35	125.6	-9.0092	-68.1567	73	28.2216	28.3
19.33	125.6	-9.3769	-70.0703	73	28.2445	28.3
19.3	125.6	-9.9436	-72.538	72	28.257	28.5
19.27	125.6	-10.3227	-74.2502	72	28.2813	28.7
19.25	125.6	-10.2257	-74.6027	71	28.3129	28.7
19.23	125.6	-10.2287	-74.3006	71	28.3519	28.9
19.2	125.6	-10.2257	-74.7035	70	28.3803	29
19.17	125.6	-10.512	-76.2143	69	28.4026	29.1
19.15	125.6	-10.6059	-76.7682	69	28.4221	29.2
19.12	125.6	-10.5105	-76.9697	69	28.4495	29.3
19.1	125.6	-10.512	-76.8186	70	28.4833	29
19.07	125.6	-10.6028	-77.3725	70	28.5062	28.9
19.05	125.6	-10.6044	-77.9265	71	28.5223	29
19.02	125.6	-10.6059	-77.574	70	28.5397	29.1
18.6	125.6	-10.8872	-79.0344	70	28.5623	29.1
18.57	125.6	-10.8872	-79.4373	70	28.5858	29.2
18.55	125.6	-10.7997	-78.7826	70	28.6042	29.2
18.52	125.6	-10.7981	-79.3366	70	28.6227	29.2
18.49	125.6	-10.8904	-79.3366	69	28.6417	29.3
18.47	125.6	-10.8888	-80.092	69	28.6638	29.3
18.44	125.6	-10.9117	-79.6387	70	28.6863	29.3
18.42	125.6	-10.8133	-79.538	70	28.7004	29.2
18.4	125.6	-10.7193	-78.6819	71	28.7033	29.1
18.37	125.6	-10.6224	-77.8258	70	28.7048	29.2
18.3	125.6	-10.7193	-77.574	71	28.7119	29.1
18.3	125.6	-10.6253	-77.4229	71	28.7164	29
18.27	125.6	-10.7223	-77.4733	73	28.7131	28.8
18.25	125.6	-10.7223	-77.3725	73	28.7137	28.8
18.22	125.6	-10.6253	-77.3222	73	28.7317	28.8
18.2	125.6	-10.4372	-76.7179	74	28.7443	28.7
18.17	125.6	-10.3256	-77.1711	73	28.7625	28.9
18.15	125.6	-10.5982	-77.9265	74	28.775	28.6
18.12	125.6	-10.6997	-78.1279	75	28.7822	28.4
18.1	125.6	-10.7043	-77.9769	74	28.772	28.3
18.07	125.6	-10.8904	-79.2359	75	28.7557	28.2
18.05	125.6	-11.1778	-81.5021	74	28.7532	28.2
18.03	125.6	-10.9934	-81.3006	74	28.7316	28.3
18	125.6	-11.1746	-82.2071	74	28.6892	28.3
17.58	125.6	-11.2666	-82.7107	74	28.6727	28.2
17.55	125.6	-11.3856	-82.3582	73	28.6736	28.2
17.52	125.6	-11.0131	-80.2431	72	28.6573	28.1
17.5	125.6	-11.0056	-79.6891	71	28.6313	28.1
17.47	125.6	-11.6916	-82.5093	72	28.5969	28.1
17.43	125.6	-11.9792	-86.6891	73	28.5679	28
17.42	125.6	-11.5793	-85.3798	74	28.5526	28
17.4	125.6	-10.8888	-81.3006	74	28.535	28
17.37	125.6	-10.6935	-78.833	74	28.5187	28
17.35	125.6	-10.8888	-78.7826	72	28.5301	27.9
17.32	125.6	-11.3793	-80.9481	73	28.548	27.9
17.29	125.6	-11.5793	-83.2647	73	28.5434	27.9
17.27	126	-11.4778	-82.3582	74	28.5224	27.9
17.24	126	-11.2778	-81.7539	75	28.5365	27.9
17.22	126	-11.1794	-81.351	75	28.568	27.9
17.19	126	-11.3746	-81.4013	75	28.5727	28
17.17	126	-11.7505	-82.9625	76	28.5695	28
17.14	126	-11.6635	-83.9193	77	28.5969	27.9
17.11	126	-11.6746	-83.3654	77	28.627	27.8
17.08	126	-11.6323	-82.1567	78	28.6142	27.8
17.06	126	-11.7617	-80.797	78	28.5157	27.8
17.04	126	-11.3834	-80.4949	78	28.4736	27.8
17.01	125.6	-11.6774	-80.1423	77	28.4759	27.9
16.59	125.6	-11.3641	-80.7467	77	28.5001	27.9
16.57	125.6	-11.4572	-81.1495	78	28.5285	27.9
16.54	125.6	-10.6778	-79.9409	77	28.5712	27.9
16.52	125.6	-10.0976	-77.6243	77	28.5767	28
16.49	125.6	-9.415	-75.3581	77	28.5367	28
16.47	125.6	-9.8024	-73.797	77	28.5219	28
16.44	125.6	-9.6243	-70.8257	78	28.5371	28
16.42	125.6	-9.6352	-69.2646	78	28.5653	28.1
16.39	125.6	-9.3447	-68.5595	77	28.6103	28.2
16.37	125.6	-9.3447	-67.3509	76	28.6599	28.3
16.34	125.6	-8.9314	-67.6531	77	28.6918	28.2
16.32	125.6	-9.2487	-66.8473	76	28.7373	28.3
16.3	125.6	-9.3518	-67.0487	75	28.7644	28.3
16.27	125.6	-9.0971	-67.1998	74	28.7815	28.4
16.25	126	-8.8065	-66.4948	74	28.8135	28.5
16.22	126	-8.9541	-65.689	74	28.8583	28.4
16.19	126	-8.8099	-65.6387	75	28.8971	28.4
16.18	126	-8.964	-65.5883	75	28.9213	28.4
16.15	126	-9.1195	-63.939	77	28.8871	28.4
16.13	126	-8.9069	-65.7394	76	28.8423	28.2
16.11	126	-9.0706	-65.2861	75	28.8493	28.2
16.08	126	-8.7518	-64.2286	75	28.8952	28.2
16.06	126.01	-9.1289	-62.6674	75	28.9449	28.2
16.04	126.01	-8.1656	-63.2214	76	28.9728	28.2
16.01	126	-8.6032	-62.6171	76	28.9759	28.2
15.59	126	-8.7989	-63.4732	76	28.9729	28.3
15.57	126	-9.3412	-63.9768	75	28.983	28.3
15.54	126	-9.3204	-65.1351	75	28.9899	28.4
15.5	126	-9.0817	-65.5379	76	28.9918	28.3
15.49	126	-9.3166	-66.0919	76	28.9951	28.3
15.47	126	-9.0236	-66.5955	75	28.998	28.3
15.44	125.6	-8.6641	-67.3005	75	29.0014	28.4
15.42	125.6	-9.5939	-67.6027	75	29.007	28.3
15.39	125.6	-8.8537	-67.3005	74	29.0121	28.3
15.37	125.6	-9.5991	-67.0991	75	29.017	28.3
15.35	125.6	-9.4981	-67.3005	75	29.0205	28.3
15.32	125.6	-9.4981	-67.4013	74	29.018	28.3
15.3	125.6	-9.3983	-67.6531	74	29.0054	28.3
15.27	125.6	-9.3983	-67.8545	75	29.0092	28.3
15.25	125.6	-8.9751	-67.3509	75	29.0078	28.2
15.21	125.6	-9.2041	-67.2502	76	28.9907	28.2
15.2	125.6	-9.0282	-67.4013	75	28.984	28.2
15.17	125.6	-9.4074	-66.3941	75	28.9645	28.2
15.14	125.6	-9.1109	-67.2502	75	28.9497	28.2
15.12	125.6	-9.4035	-66.948	74	28.9665	28.3
15.1	125.6	-9.2041	-67.2502	75	28.9952	28.3
15.07	125.6	-8.8203	-67.6531	74	29.0126	28.2
15.04	125.6	-9.0184	-67.6027	75	29.0138	28.3
15.02	125.6	-9.3051	-67.5523	76	29.0119	28.2
14.6	125.6	-9.3064	-66.7969	75	29.0089	28.2
14.57	125.6	-9.502	-67.9552	75	29.009	28.3
14.55	125.6	-9.4035	-68.0559	74	29.0059	28.2
14.51	125.6	-9.4981	-68.7106	75	28.9958	28.3
14.49	125.6	-9.8878	-69.2646	75	29.0033	28.3
14.47	125.6	-9.4022	-69.1135	75	29.0135	28.3
14.44	125.6	-9.8943	-68.3077	76	29.0209	28.3
14.42	125.6	-10.0899	-68.0559	75	29.0285	28.3
14.4	125.6	-9.7933	-68.207	75	29.0341	28.3
14.36	125.6	-9.792	-69.0631	75	29.0385	28.4
14.34	125.6	-9.7972	-69.0631	75	29.0425	28.4
14.32	125.6	-10.3021	-68.3581	73	29.0405	28.3
14.29	125.6	-10.403	-68.5595	73	29.0377	28.4
14.26	125.6	-9.7165	-67.6531	74	29.038	28.4
14.24	125.6	-10.4887	-73.2934	74	29.046	28.5
14.2	125.6	-10.5884	-73.6459	72	29.0481	28.8
14.19	125.6	-10.6869	-73.6459	72	29.0452	28.8
14.16	125.6	-10.7775	-73.5452	73	29.0249	28.1
14.14	125.6	-10.8733	-74.1495	75	29.0126	28
14.12	125.6	-10.7866	-74.0991	72	29.0104	28.9
14.09	125.6	-10.5923	-74.1999	72	29.0204	29
14.07	125.6	-10.6957	-74.4013	70	29.0242	29.2
14.04	125.6	-10.6932	-74.1999	70	29.0192	29.5
14.01	125.6	-10.692	-74.7538	70	29.0105	29.3
13.59	125.6	-10.5948	-74.8042	72	29.0508	29.2
13.55	125.6	-10.7916	-75.2071	70	29.0947	29.5
13.54	125.6	-10.7967	-75.3078	70	29.1142	29.6
13.51	125.6	-10.8901	-75.0056	69	29.1323	29.7
13.48	125.6	-10.7942	-75.3078	70	29.1461	29.8
13.46	125.6	-10.7904	-75.5596	69	29.1546	29.9
13.44	125.6	-10.9717	-76.8689	69	29.1618	29.8
13.41	125.6	-11.5422	-79.538	67	29.1676	29.7
13.39	125.6	-11.8306	-80.5956	66	29.172	29.5
13.36	125.6	-12.1188	-81.2503	68	29.198	29.8
13.33	125.6	-12.3071	-83.6675	66	29.2308	30.3
13.31	125.6	-12.4982	-85.4805	66	29.2557	30.3
13.28	125.6	-12.4894	-85.8834	67	29.2783	30.4
13.26	125.6	-12.6621	-86.2071	68	29.3024	30.2
13.23	125.6	NaN	NaN	66	29.3297	29.8
13.2	125.6	NaN	NaN	64	29.3715	30.2
13.18	126	NaN	NaN	67	29.4048	30.1
13.15	126	NaN	NaN	70	29.3935	29.2
13.13	126	NaN	NaN	74	29.3904	28.2
13.1	126	NaN	NaN	74	29.3943	28.4
13.08	126	NaN	NaN	73	29.4282	28.6
13.03	126	NaN	NaN	70	29.4586	29.1
13.02	126	NaN	NaN	71	29.4707	29
13	126	NaN	NaN	70	29.4896	27.8
12.58	125.6	NaN	NaN	77	29.4646	26.6
12.55	125.6	NaN	NaN	80	29.4231	26.2
12.53	125.6	NaN	NaN	80	29.439	26.8
12.5	125.6	-13.3493	-82.8114	79	29.498	26.9
12.48	125.6	-13.2885	-85.2791	78	29.5171	27.1
12.45	125.6	-12.7562	-83.9193	79	29.5075	27.1
12.42	125.6	-12.2829	-80.1423	76	29.5307	27.3
12.4	125.6	-13.0814	-84.6244	76	29.5425	27.5
12.37	125.6	-14.3443	-92.6316	74	29.5421	27.8
12.35	125.6	-14.5412	-96.0561	75	29.5331	27.9
12.32	125.6	-14.6303	-97.7683	72	29.5358	28.1
12.3	126	-14.6225	-98.5237	74	29.5718	28.2
12.27	126	-14.5272	-98.6245	73	29.6451	28.2
12.19	126	-14.6272	-99.682	69	29.7134	28.8
12.17	126	-14.7209	-101.5453	67	29.7875	29
12.14	126	-14.8177	-101.495	67	29.892	29.1
12.12	126	-14.6319	-101.8475	67	29.9747	29.3
12.09	126	-14.4351	-99.8331	66	30.021	29.3
12.06	126	-14.7272	-100.7396	67	30.039	29.3
12.04	126	-14.7241	-100.6389	67	30.0769	29.5
12.01	126	-14.6272	-99.682	68	30.1028	29.4
11.59	126	-14.4381	-99.9338	68	30.1243	29.2
11.58	126.01	-14.3459	-99.1281	70	30.0981	28.7
11.58	126.01	-14.535	-99.8835	68	30.0577	29.3
11.58	126.01	-14.7516	-101.5453	69	30.0094	29.2
11.57	126.01	-15.4651	-105.4231	70	29.9798	28.8
11.56	126.01	-16.3322	-113.8332	72	29.9598	28.6
11.52	126.02	-14.847	-104.4662	72	29.9464	28.6
11.51	126.02	-14.6532	-99.5309	72	29.9272	28.6
11.48	126.02	-14.2595	-101.5453	72	29.9006	28.5
11.31	126.05	-12.6247	-82.056	73	29.8343	28.4
11.28	126.05	-12.4279	-83.9697	73	29.8216	28.3
11.26	126.06	-12.9211	-82.3078	73	29.8118	28.4
11.23	126.06	-12.3295	-78.0272	73	29.7746	28.4
11.21	126.06	-11.844	-77.7251	72	29.7458	28.4
11.18	126.07	-11.9218	-77.7452	71	29.7261	28.4
11.16	126.07	-12.0419	-76.8689	72	29.7062	28.4
11.13	126.08	-12.2837	-77.0144	72	29.6976	28.4
11	126.1	-12.1237	-76.315	71	29.7841	28.5
10.58	126.1	-12.6329	-86.9913	72	29.8016	28.6
10.56	126.11	-13.685	-94.9482	72	29.8031	28.6
10.53	126.11	-14.0685	-97.718	72	29.78	28.6
10.5	126.12	-14.0626	-99.5309	72	29.7314	28.5
10.47	126.12	-14.2565	-100.4374	73	29.6559	28.5
10.45	126.12	-14.3504	-102.3007	73	29.6193	28.6
10.43	126.13	-14.2505	-101.2432	73	29.6262	28.6
10.4	126.13	-14.2565	-102.4518	72	29.6324	28.4
10.38	126.14	-14.3534	-102.4015	72	29.6342	28.5
10.35	126.14	-14.3519	-101.3439	72	29.6366	28.5
10.33	126.15	-14.2444	-102.0489	71	29.6576	28.5
10.3	126.15	-14.2413	-101.9482	72	29.6669	28.4
10.26	126.16	-14.5412	-102.0993	71	29.6788	28.5
10.25	126.16	-14.5396	-103.0561	71	29.6958	28.5
10.22	126.16	-14.7303	-103.8619	72	29.6857	28.5
10.19	126.17	-14.6288	-103.7612	71	29.6692	28.6
10.17	126.17	-14.6334	-102.9051	68	29.6761	28.5
10.14	126.18	-14.9272	-104.8691	73	29.6926	28
10.12	126.18	-14.535	-103.9123	75	29.6937	28
10.1	126.18	-14.535	-103.9123	73	29.6802	28
10.07	126.19	-15.0317	-105.0705	72	29.6717	28.2
10.05	126.19	-15.427	-107.1353	77	29.6496	27.3
10.02	126.2	-15.1332	-106.1785	80	29.627	26.7
9.6	126.2	-14.8334	-105.0202	79	29.6166	26.8
9.57	126.21	-14.6319	-104.8691	78	29.618	26.8
9.54	126.21	-14.5335	-103.8619	80	29.6178	26.4
9.52	126.21	-14.3754	-102.1497	84	29.5911	26
9.48	126.22	-13.8337	-99.9338	83	29.5539	26
9.45	126.23	-13.7592	-97.8691	80	29.4912	26.1
9.44	126.23	-13.4772	-94.6964	79	29.4622	26.3
9.41	126.23	-13.0882	-92.682	80	29.451	26.8
9.39	126.24	-12.9898	-90.4661	81	29.4544	26.8
9.36	126.24	-12.7942	-89.1064	79	29.4762	26.8
9.34	126.24	-12.8938	-88.5525	78	29.4794	27.1
9.32	126.25	-12.8926	-87.3942	78	29.4823	27.3
9.29	126.25	-12.8902	-87.1927	76	29.4895	27.4
9.26	126.26	-12.4977	-88.2503	74	29.4986	27.3
9.24	126.26	-12.2013	-88.0992	74	29.4956	27.6
9.21	126.27	-12.4918	-87.6963	75	29.4804	27.6
9.19	126.27	-12.4894	-88.7035	74	29.4595	27.8
9.16	126.27	-12.5926	-87.7971	74	29.4848	27.9
9.13	126.28	-12.6716	-87.8978	73	29.5238	27.7
9.11	126.28	-12.3689	-88.3007	72	29.5398	27.9
9.09	126.29	-12.3726	-88.1496	79	29.556	27.2
9.06	126.29	-12.6514	-89.61	79	29.5779	26.6
9.04	126.29	-12.525	-91.6748	79	29.591	26.2
9.01	126.3	-12.9118	-91.2215	78	29.5978	26
8.59	126.3	-12.6275	-90.3151	82	29.5885	26
8.56	126.31	-12.8521	-87.7467	82	29.5543	26
8.54	126.31	-12.8585	-86.6891	80	29.5275	26.1
8.51	126.32	-12.9619	-87.092	79	29.4917	26.2
8.49	126.32	-13.0653	-88.4014	78	29.4599	26.4
8.46	126.33	-13.2634	-89.1568	79	29.4614	26.4
8.43	126.33	-13.6458	-91.7251	78	29.4797	26.5
8.4	126.33	-14.7859	-98.7252	77	29.4972	26.6
8.38	126.34	-15.0742	-101.495	76	29.5086	26.7
8.36	126.34	-15.157	-102.9554	77	29.5235	26.7
8.33	126.34	-15.3582	-103.1065	77	29.5325	26.7
8.31	126.35	-14.9841	-101.7971	77	29.5132	26.8
8.28	126.35	-14.8912	-101.9986	77	29.4916	26.7
8.25	126.36	-14.7995	-102.2504	79	29.4679	26.7
8.23	126.36	-14.5083	-102.4015	79	29.4631	26.8
8.21	126.37	-14.6067	-101.3943	77	29.4624	26.8
8.18	126.37	-14.318	-101.6461	76	29.4637	26.9
8.15	126.38	-14.1251	-100.7899	77	29.4985	26.9
8.13	126.38	-14.3219	-100.7899	76	29.5531	26.8
8.1	126.38	-14.3219	-99.7827	77	29.6163	27
8.08	126.39	-14.4164	-100.6389	77	29.6585	27
8.05	126.39	-14.3219	-100.7899	78	29.6849	26.6
8.03	126.4	-14.1316	-100.0345	76	29.697	26.8
8	126.4	-14.0293	-99.8835	73	29.6803	27.2
7.57	126.41	-14.4138	-100.5381	70	29.6525	27.7
7.55	126.41	-14.6093	-100.4878	69	29.65	27.9
7.52	126.41	-14.9019	-101.3943	66	29.6193	28.2
7.49	126.42	-14.8966	-102.2	64	29.6113	28.8
7.47	126.42	-14.991	-102.0489	64	29.6105	28.9
7.44	126.43	-14.8802	-103.6101	62	29.626	29.5
7.42	126.43	-15.4479	-105.8259	60	29.6449	29.7
7.39	126.44	-15.6344	-107.4878	60	29.6521	30.1
7.37	126.44	-15.9175	-109.0993	59	29.6514	30.4
7.34	126.44	-16.3003	-110.7612	59	29.6451	30.5
7.31	126.45	-16.4956	-111.7181	58	29.6299	30.5
7.29	126.45	-16.4019	-111.8691	62	29.6288	29.8
7.26	126.46	-16.4003	-111.8188	61	29.6292	29.6
7.24	126.46	-16.2988	-111.7181	60	29.6316	29.7
7.21	126.47	-16.1988	-112.6749	59	29.639	29.7
7.19	126.47	-16.294	-113.5814	59	29.6692	29.8
7.16	126.47	-16.5861	-113.4807	59	29.6887	29.7
7.14	126.48	-16.6877	-113.5814	59	29.7357	29.7
7.11	126.48	-16.1841	-110.5598	60	29.7667	29.7
7.08	126.49	-14.6534	-100.236	61	29.7884	29.8
7.06	126.49	-14.0795	-92.8834	61	29.7862	29.8
7.03	126.49	-13.4924	-90.0129	59	29.7483	30
7	126.5	-16.2553	-104.5166	58	29.8458	30.1
6.58	126.49	-15.749	-108.0418	58	29.932	30.4
6.56	126.47	-15.8474	-108.0418	57	29.979	30.6
6.54	126.46	-15.9414	-108.8979	58	30.0288	30.5
6.52	126.44	-15.9385	-108.7972	59	30.0812	30.6
6.5	126.43	-15.94	-108.8475	59	30.1169	30.7
6.48	126.41	-15.7446	-108.8979	59	30.1839	30.6
6.45	126.4	-15.6462	-109.9051	60	30.1874	30.8
6.43	126.38	-15.6491	-110.0058	63	30.1968	30.4
6.41	126.37	-15.6433	-109.8044	62	30.2136	30.5
6.39	126.35	-15.445	-109.754	65	30.1612	29.9
6.37	126.34	-15.157	-110.0058	63	30.1291	29.8
6.35	126.32	-15.0542	-109.8547	64	30.112	29.6
6.32	126.3	-15.1512	-109.8044	65	30.0992	29.6
6.31	126.29	-15.2481	-109.754	65	30.0934	29.6
6.28	126.27	-15.251	-108.8475	66	30.057	29.5
6.26	126.26	-15.1599	-109.0993	64	30.012	29.5
6.24	126.24	-15.1627	-109.2001	62	29.9593	29.7
6.21	126.23	-15.1627	-109.2001	62	29.8973	29.8
6.2	126.22	-15.4566	-109.1497	63	29.886	29.8
6.18	126.2	-15.7475	-108.9986	63	29.9248	29.7
6.16	126.18	-15.7461	-108.9483	65	30.0074	29.6
6.14	126.16	-15.555	-109.1497	64	30.083	29.7
6.11	126.15	-15.5521	-110.0562	65	30.1365	29.7
6.09	126.13	-15.458	-110.2073	65	30.1452	29.6
6.07	126.12	-15.3624	-109.3008	65	30.1418	29.4
6.04	126.1	-15.2669	-109.4015	65	30.1346	29.4
6.02	126.09	-15.3653	-109.4015	65	30.1138	29.4
5.6	126.07	-15.3653	-109.4015	65	30.0988	29.4
5.58	126.06	-15.2697	-108.495	64	30.0988	29.2
5.55	126.04	-15.3653	-108.3943	65	30.1384	29.1
5.53	126.02	-15.2711	-108.5454	65	30.2025	29.1
5.51	126.01	-15.6577	-108.2936	66	30.3557	29.1
5.47	125.58	-15.6591	-109.3511	67	30.4717	29
5.46	125.57	-15.749	-110.0562	69	30.4684	28.8
5.43	125.56	-15.8401	-110.8116	73	30.4178	27.7
5.41	125.54	-16.2051	-113.8835	79	30.3873	25.9
5.39	125.53	-16.0956	-116.5526	83	30.27	25.7
5.36	125.51	-16.1924	-116.5023	79	30.1213	26.4
5.33	125.48	-16.6956	-115.8476	79	30.0078	26.1
5.32	125.48	-17.4876	-119.0203	78	29.8992	25.8
5.29	125.46	-17.7782	-122.898	74	29.8405	26.1
5.27	125.44	-17.6687	-125.5671	70	29.8217	27.1
5.25	125.43	-17.5703	-125.5671	74	29.7834	26.9
5.23	125.41	-17.8558	-125.2649	71	29.7067	26.8
5.2	125.4	-18.2512	-125.3153	74	29.6815	26.7
5.18	125.38	-17.6261	-121.3872	69	29.682	26.7
5.15	125.36	-16.4793	-116.603	65	29.6641	27.4
5.13	125.34	-16.1063	-112.3727	65	29.6361	27.4
5.11	125.33	-15.7202	-110.6605	65	29.6317	27.6
5.09	125.31	-15.7263	-106.8835	66	29.6139	27.5
5.05	125.28	-16.1679	-111.9699	65	29.5908	27.7
5.04	125.27	-16.623	-117.7109	65	29.5712	27.6
5.02	125.26	-16.1354	-116.8548	63	29.5433	27.6
4.6	125.24	-15.6403	-116.7541	65	29.5336	27.6
4.58	125.22	-15.7343	-116.603	68	29.5294	27.6
4.56	125.19	-16.0205	-116.3008	66	29.5174	27.7
4.55	125.17	-16.1235	-116.4519	67	29.5214	27.7
4.53	125.15	-15.9311	-116.603	68	29.5379	27.8
4.51	125.12	-16.0281	-116.5526	70	29.5414	27.9
4.5	125.1	-15.9311	-116.603	69	29.5413	27.8
4.48	125.08	-15.9341	-116.7037	66	29.5546	28.2
4.46	125.06	-15.843	-115.9483	62	29.5534	28.5
4.45	125.03	-15.8401	-115.8476	66	29.5281	28.7
4.43	125.01	-15.9326	-115.6461	72	29.4892	28.5
4.41	124.59	-16.0236	-115.3943	73	29.4848	28.3
4.4	124.57	-15.348	-115.8476	72	29.4901	28.4
4.38	124.54	-14.5694	-115.1425	71	29.518	28.4
4.37	124.52	-14.4767	-114.3368	70	29.5611	28.3
4.35	124.5	-14.4795	-112.4231	74	29.6017	28.2
4.34	124.48	-14.4809	-110.4591	76	29.6255	28
4.32	124.46	-14.8689	-110.2576	77	29.6189	27.8
4.3	124.43	-14.4795	-110.4087	77	29.6059	27.8
4.29	124.41	-14.0914	-109.6029	77	29.5896	27.7
4.28	124.39	-14.0956	-108.7468	77	29.5735	27.8
4.25	124.36	-14.0997	-107.8907	78	29.5699	27.8
4.24	124.34	-14.0013	-107.8907	78	29.5619	27.9
4.23	124.32	-13.907	-107.0346	73	29.534	28.3
4.21	124.3	-13.7196	-105.3727	75	29.4989	28.5
4.2	124.28	-13.7115	-106.0777	75	29.446	28.5
4.18	124.25	-13.9944	-105.6245	74	29.42	28.6
4.15	124.21	-13.7033	-105.7756	75	29.4122	28.5
4.14	124.2	-13.6049	-104.7684	75	29.4082	28.4
4.13	124.18	-13.4094	-104.8187	75	29.3975	28.4
4.11	124.16	-13.214	-103.8619	74	29.3228	28.4
4.09	124.13	-13.1169	-101.8979	73	29.2604	28.4
4.08	124.11	-13.1183	-101.9482	73	29.2916	28.4
4.06	124.09	-13.0185	-101.8979	72	29.332	28.4
4.05	124.07	-13.408	-101.7468	72	29.371	28.5
4.03	124.04	-13.2084	-101.6461	72	29.4116	28.5
4.02	124.02	-13.4995	-101.495	71	29.4096	28.4
4	123.6	-13.5965	-101.4446	71	29.3605	28.4
3.59	123.58	-13.4953	-100.3367	71	29.3304	28.4
3.57	123.55	-13.5895	-101.1928	70	29.3166	28.4
3.56	123.53	-13.685	-101.0921	72	29.3131	28.3
3.54	123.51	-13.8819	-101.0921	72	29.3217	28.3
3.53	123.49	-13.8761	-100.8907	72	29.3356	28.2
3.51	123.46	-13.6836	-101.0417	71	29.3435	28.2
3.5	123.44	-13.6792	-100.8907	71	29.3451	28.2
3.48	123.42	-13.782	-100.0345	70	29.3511	28.2
3.46	123.4	-14.0773	-100.0345	71	29.3755	28.1
3.45	123.37	-14.1713	-100.8907	70	29.402	28.3
3.43	123.35	-14.2654	-101.7468	71	29.4309	28.4
3.42	123.33	-14.3653	-101.7971	71	29.457	28.3
3.4	123.31	-14.2639	-101.6964	72	29.5017	28.2
3.39	123.29	-14.167	-100.7396	72	29.5157	28.2
3.37	123.27	-13.973	-100.8403	70	29.5059	28.2
3.35	123.24	-13.9774	-99.9842	69	29.5086	28.2
3.34	123.22	-13.8833	-100.1353	69	29.5091	28.3
3.32	123.2	-14.1771	-100.0849	69	29.4834	28.3
3.31	123.18	-14.2741	-100.0345	71	29.4471	28.5
3.29	123.16	-14.1871	-99.4302	70	29.4431	28.7
3.27	123.14	-13.9449	-96.4086	70	29.4579	28.5
3.26	123.12	-13.528	-97.0129	70	29.4833	28.5
3.25	123.1	-13.4967	-98.3727	69	29.5098	28.6
3.23	123.07	-13.5909	-98.2216	68	29.5248	28.8
3.22	123.05	-13.5201	-96.1065	67	29.533	29.1
3.19	123.02	-13.7249	-94.8978	65	29.5369	29.3
3.18	123.01	-13.1357	-93.4374	66	29.5496	29.3
3.17	122.58	-13.2301	-92.3798	67	29.5625	29.3
3.16	122.56	-13.3069	-92.5813	67	29.5794	29.2
3.15	122.55	-13.6807	-94.4949	66	29.6038	29.3
3.14	122.54	-13.8833	-95.4014	65	29.6219	29.4
3.13	122.54	-14.1885	-95.1496	67	29.6154	28.9
3.13	122.54	-14.4865	-96.0561	66	29.6026	29.1
3.13	122.54	-14.5532	-98.4734	66	29.5981	29.3
3.13	122.54	-14.9287	-102.9051	65	29.6146	29.5
3.13	122.54	-15.4146	-105.7252	66	29.6369	29.3
3.12	122.54	-15.6098	-107.6893	65	29.6484	29.5
3.12	122.54	-15.9019	-109.6029	64	29.6335	29.7
3.12	122.54	-15.8939	-110.3583	64	29.6284	29.7
3.12	122.54	-15.9875	-112.2217	64	29.6302	29.9
3.12	122.54	-16.0892	-112.3224	64	29.6386	29.9
3.12	122.54	-16.0908	-112.3727	62	29.6466	30
3.11	122.54	-15.9956	-112.4735	65	29.6588	29.6
3.11	122.53	-15.9956	-112.4735	61	29.6762	30.7
3.11	122.53	-15.9988	-113.5814	60	29.6927	30.9
3.11	122.53	-16.0626	-113.7325	58	29.6969	31.3
3.1	122.53	-15.6656	-106.4806	63	29.6899	29.2
3.1	122.53	-13.9119	-97.8187	66	29.6843	29
3.1	122.53	-13.9243	-77.9769	66	29.7081	28.9
3.09	122.53	-13.5735	-85.833	70	29.7218	27.7
3.09	122.53	-15.8222	-103.1569	69	29.7237	28
3.09	122.53	-16.3097	-109.049	65	29.7283	29.2
3.09	122.53	-16.8893	-112.7253	65	29.7381	29.4
3.08	122.53	-16.983	-113.5814	66	29.7669	29.5
3.08	122.53	-16.9877	-114.7397	68	29.7934	28.8
3.08	122.53	-17.2892	-116.9555	63	29.8076	30.1
3.07	122.52	-17.0955	-118.0634	63	29.8176	29.7
3.06	122.5	-16.2128	-115.1425	63	29.8522	29.8
3.05	122.48	-15.6207	-112.0706	61	29.9052	29.9
3.04	122.46	-15.6176	-111.9699	56	30.0039	30.4
3.02	122.44	-16.0004	-111.6173	57	30.1422	30.5
3.01	122.42	-16.194	-112.5238	57	30.2351	30.6
2.6	122.39	-16.2877	-112.7756	72	30.2685	26.9
2.59	122.37	-16.1638	-112.826	77	30.268	25.6
2.58	122.35	-15.2835	-108.9986	77	30.1424	24.7
2.57	122.33	-14.3373	-95.9554	81	29.9983	24.8
2.55	122.3	-12.4109	-83.2143	78	29.9369	25.4
2.53	122.27	-12.2288	-77.2215	75	29.9298	25.8
2.53	122.26	-14.0004	-82.7611	76	29.9028	25.7
2.52	122.24	-16.1624	-102.7036	79	29.8533	25.9
2.5	122.21	-17.5983	-113.3799	77	29.8089	26.2
2.49	122.19	-17.121	-113.8835	74	29.7611	26.8
