%latitude(N)	longtitude(E)	d18-O(‰)	dD(‰)	RH(％)	SST	T air
36.5	123.53	-11.3096	-91.1208	84	17.2063	17.3
36.48	123.56	-11.1172	-90.2143	84	17.1935	17.2
36.46	123.57	-10.9226	-89.6604	84	17.0856	17.3
36.44	123.59	-10.7302	-88.7539	84	17.0243	17.3
36.42	124	-10.6317	-88.1496	84	16.9947	17.4
36.39	124.01	-10.6295	-87.7971	83	16.9582	17.5
36.37	124.01	-10.4349	-87.2431	83	16.9823	17.7
36.34	124.01	-10.343	-86.4877	83	17.0798	17.8
36.31	124.02	-10.3452	-86.0345	82	17.191	18.2
36.29	124.02	-10.2489	-85.3798	81	17.2761	18.3
36.27	124.02	-10.2489	-85.1783	80	17.3435	18.4
36.24	124.02	-10.144	-85.128	80	17.3848	18.3
36.21	124.02	-10.0456	-85.0273	80	17.4177	18.2
36.19	124.03	-10.0456	-84.7251	80	17.4191	18.1
36.16	124.03	-10.0456	-84.4229	80	17.3961	18.1
36.14	124.03	-9.9472	-84.2215	80	17.4082	18.1
36.11	124.04	-9.8488	-83.7179	80	17.4472	18.1
36.09	124.04	-9.8488	-83.5165	80	17.4753	18
36.07	124.04	-9.8466	-83.2647	80	17.4277	18
36.04	124.04	-9.8422	-83.4661	80	17.4492	18
36.02	124.05	-9.84	-83.5165	80	17.4978	18
35.59	124.05	-9.84	-83.315	80	17.5297	18
35.56	124.05	-9.9384	-83.0129	80	17.5563	18
35.54	124.05	-9.84	-83.1136	81	17.5693	18
35.51	124.04	-9.9362	-83.0632	81	17.5789	17.8
35.49	124.04	-9.9339	-82.9121	82	17.6134	17.8
35.44	124.04	-9.9317	-82.9625	82	17.6116	17.9
35.44	124.04	-9.9339	-83.0129	82	17.5232	17.9
35.41	124.04	-9.9362	-82.9625	82	17.4471	18
35.38	124.04	-10.0346	-82.6603	81	17.4333	18
35.36	124.04	-10.1352	-82.7107	81	17.5432	18
35.33	124.03	-10.133	-82.5596	82	17.6207	17.9
35.3	124.03	-10.0346	-82.6603	83	17.668	17.8
35.28	124.03	-10.0346	-82.5596	83	17.7173	17.8
35.26	124.03	-10.1308	-82.5093	83	17.7658	17.8
35.23	124.03	-10.0324	-82.61	84	17.8033	17.9
35.21	124.03	-10.0346	-82.8618	84	17.8006	17.9
35.18	124.03	-9.945	-82.1567	84	17.7825	18
35.15	124.04	NaN	NaN	85	NaN	18.1
35.12	124.04	NaN	NaN	85	NaN	18.1
35.1	124.04	NaN	NaN	84	NaN	18.1
35.08	124.04	NaN	NaN	85	NaN	18.1
35.05	124.05	-11.5197	-80.5452	85	17.4874	18.2
35.02	124.06	-10.0456	-83.5165	85	17.4338	18.3
34.6	124.06	-9.8552	-82.7611	85	17.4419	18.1
34.57	124.06	-9.759	-82.3078	86	17.4748	18.1
34.55	124.07	-9.7632	-82.1064	86	17.6048	18.2
34.52	124.07	-9.6669	-81.8546	86	17.7171	18.2
34.5	124.08	-9.6669	-81.5524	86	17.6756	18.2
34.47	124.08	-9.7674	-81.4013	86	17.6165	18.2
34.45	124.08	-9.4784	-80.6459	86	17.5645	18.3
34.42	124.07	-9.5789	-80.1927	86	17.5428	18.3
34.4	124.07	-9.4805	-79.9913	86	17.5797	18.3
34.38	124.06	-9.4825	-80.0416	86	17.7321	18.3
34.35	124.06	-9.4846	-79.9913	87	17.8654	18.4
34.33	124.05	-9.585	-80.2431	87	17.9499	18.6
34.3	124.05	-9.3943	-79.5884	87	18.0098	17.8
34.28	124.04	-9.583	-79.7898	87	18.1029	17.8
34.26	124.04	-10.8584	-80.092	88	18.2242	17.7
34.23	124.04	-12.4331	-81.7035	88	18.3449	17.8
