%Latitude	Longitude	Altitude	Date	O18	H2	Air Temperature
-67.433	93.383	1416	1988-01-01	-27.95	-221.3	-24.5
-67.43333056	139.2833306	1530	NaN	-28.2	NaN	-27.4
-67.45058333	138.5536056	1550	1973-01-01	NaN	-214.2	-25.4
-67.51666667	139.3	1610	NaN	-27	NaN	-28.3
-67.51801944	92.18551111	1550	1998-12-29	-27.6	NaN	NaN
-67.53333056	66	1750	NaN	-18.7	NaN	-16.5
-67.57	-68.13	5	2000-01-01	-13.73	-110.9	-4.3
-67.58350556	138.3819056	1660	1973-01-01	NaN	-218.8	-26.9
-67.61666667	139.2166667	1670	NaN	-26.7	NaN	-28.9
-67.66417222	94.52592222	1735	1985-01-01	-30.18	-237.23	-27.4
-67.66666667	45.83333056	NaN	NaN	-20.1	NaN	-10.9
-67.7	93.65	1850	1990-01-01	-25.3	-202.9	-24.1
-67.71	109.7833333	1386	1984-01-01	-25.7	-202.2	-24
-67.72413056	83.65855	494	1999-01-07	-24.78	NaN	-12.5
-67.76666667	68.91666667	377	NaN	-14.92	NaN	-7.7
-67.78	-64.7	80	1990-01-01	-22.2	-174.4	-13.4
-67.84298333	138.0413806	1795	1973-01-01	NaN	-221.7	-28.2
-67.8597	93.7503	NaN	NaN	-30.13	-239.5	NaN
-67.87936111	94.770425	1880	1985-01-01	-31.68	-252.23	-28.8
-67.91095	88.34568889	1406	1999-01-08	-29.37	NaN	-22.3
-67.91666667	139.3166667	1830	NaN	-29.1	NaN	-30.4
-67.99415833	137.8398472	1850	1973-01-01	-30.39	-231.4	-28.8
-68.0006	92.55763056	1822	1998-12-29	-30.51	NaN	-26.9
-68.00381944	81.00393889	611	1999-01-07	-21.42	NaN	-15.5
-68.00546944	83.64908056	981	1999-01-07	-25.29	NaN	-18.5
-68.08	93.83	2080	1990-01-01	-29.4	-229.6	-27.7
-68.13013333	137.6556056	1935	1973-01-01	NaN	-235.4	-29.8
-68.16357778	113.2624639	1280	NaN	-25.74	NaN	-21.8
-68.18333056	67	380	NaN	-15.25	NaN	-8.1
-68.262275	137.473925	2050	1973-01-01	NaN	-254.6	-32.1
-68.32527778	114.3775889	1432	NaN	-26.29	NaN	-23.9
-68.35016944	83.99831111	1425	1998-12-30	-28.4	NaN	-21
-68.38878889	88.60341111	1733	1999-01-08	-31.89	NaN	-25
